,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_CDC_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_MIT_Cassandra,0.6992050000000003,0.708045,0.5302999999999999,,1.449260000000001,0.5302999999999999,0.6992050000000003,0.6428199999999998,0.6248750000000003,0.7154349999999999,0.803095,0.4298000000000002,0.8791,0.7587250000000003,,0.8119799999999997,0.7329849999999999,0.6789100000000002,0.7892799999999996,0.5448800000000003,0.0,0.3589066666666666,0.7442449999999997,0.6960899999999998,0.5887466666666666,0.44387000000000015,0.4329350000000003,0.7514249999999997,0.5667300000000002,0.5989600000000004
FH_MIT_ISOLAT_Mixtures,0.40114000000000016,0.3570866666666668,0.21223999999999996,,1.0572933333333334,0.21223999999999996,0.40114000000000016,0.4249799999999999,0.4207533333333333,0.46599333333333326,0.541426666666667,0.1504933333333333,0.6956733333333331,0.3967866666666667,,0.4199066666666667,0.4002799999999999,0.3140733333333334,0.4340800000000001,0.1955,0.3589066666666666,0.0,0.44316,0.4676400000000001,0.35556,0.18280666666666667,0.2349466666666666,0.5243866666666664,0.3308533333333333,0.37413333333333326
FH_MUNI_ARIMA,0.3562,0.5363699999999999,0.5021533333333336,0.58264,1.4527599999999987,0.5021533333333336,0.3562,0.469476666666667,0.5846100000000001,0.4474866666666663,0.4203133333333335,0.7832966666666668,0.69272,0.5905699999999995,0.5124999999999998,0.5225500000000004,0.49470333333333316,0.6898040000000002,0.5272133333333334,0.6046559999999996,0.7442449999999997,0.44316,0.0,0.4071566666666668,0.5662680000000004,0.7892333333333329,0.8321666666666667,0.6100400000000004,0.7334733333333326,0.5768199999999997
FH_MUNI_VAR,0.46963000000000044,0.5390066666666667,0.5880733333333331,0.6196200000000001,1.5111066666666668,0.5880733333333331,0.46963000000000044,0.5776599999999997,0.6599599999999998,0.5618333333333333,0.5107333333333332,0.7782033333333334,0.7176099999999996,0.5807699999999999,0.5101599999999998,0.5686266666666671,0.5366966666666666,0.6220040000000003,0.4848866666666666,0.6595200000000002,0.6960899999999998,0.4676400000000001,0.4071566666666668,0.0,0.5789039999999994,0.7466466666666661,0.8346733333333332,0.5521750000000004,0.6714799999999999,0.60993
FH_Microsoft_DeepSTIA,0.45832000000000034,0.48491600000000007,0.5264839999999995,0.48459999999999986,1.7163560000000002,0.5264839999999995,0.45832000000000034,0.517724,0.645664,0.5161479999999998,0.47935600000000006,0.6276039999999998,0.58412,0.5760040000000006,0.5762999999999999,0.49580399999999974,0.5275639999999999,0.7188750000000002,0.42394,0.5607000000000001,0.5887466666666666,0.35556,0.5662680000000004,0.5789039999999994,0.0,0.629684,0.7168560000000004,0.5160399999999998,0.6959199999999993,0.5931000000000002
FH_RobertWalraven_ESG,0.6952633333333335,0.8059299999999999,0.4514500000000003,0.48707999999999985,1.5361999999999982,0.4514500000000003,0.6952633333333335,0.7040966666666673,0.6399400000000004,0.7610733333333333,0.9017499999999997,0.14087000000000002,0.96938,0.74099,0.9991400000000003,0.7977333333333331,0.8114199999999997,0.5526440000000001,0.8076766666666669,0.4016840000000002,0.44387000000000015,0.18280666666666667,0.7892333333333329,0.7466466666666661,0.629684,0.0,0.16738000000000006,0.8279199999999999,0.4343166666666669,0.6049100000000005
FH_TTU_squider,0.7639666666666668,0.8839400000000001,0.51249,0.5277000000000001,1.433333333333331,0.51249,0.7639666666666668,0.7549933333333333,0.6879533333333328,0.8307499999999998,1.000496666666666,0.15111333333333332,1.0292899999999987,0.876836666666667,1.0596999999999996,0.8999766666666664,0.8991333333333332,0.6305839999999999,0.9330633333333332,0.48238,0.4329350000000003,0.2349466666666666,0.8321666666666667,0.8346733333333332,0.7168560000000004,0.16738000000000006,0.0,0.8286249999999993,0.4352466666666668,0.6792966666666663
FH_UMich_RidgeTfReg,0.6429000000000006,0.6625600000000005,0.7569700000000001,,1.4841399999999993,0.7569700000000001,0.6429000000000006,0.5475450000000002,0.6260950000000004,0.5636949999999997,0.579935,0.8314349999999994,0.4888000000000001,0.6605350000000001,,0.6853500000000002,0.7133449999999999,0.8496150000000003,0.6645000000000004,0.790133333333333,0.7514249999999997,0.5243866666666664,0.6100400000000004,0.5521750000000004,0.5160399999999998,0.8279199999999999,0.8286249999999993,0.0,0.66734,0.7173850000000002
FH_UVA_Ensemble,0.6252400000000001,0.7432100000000004,0.4812433333333336,0.44815999999999995,1.4886099999999993,0.4812433333333336,0.6252400000000001,0.6565199999999994,0.6300433333333327,0.7000299999999998,0.8099133333333338,0.4305700000000003,0.7974333333333332,0.7268,0.8877799999999999,0.75398,0.7309633333333334,0.6275799999999999,0.6893999999999995,0.49915199999999993,0.5667300000000002,0.3308533333333333,0.7334733333333326,0.6714799999999999,0.6959199999999993,0.4343166666666669,0.4352466666666668,0.66734,0.0,0.6359366666666666
USC_SI_kJalpha,0.4415966666666668,0.5731099999999995,0.44299333333333313,0.5316200000000001,1.478026666666665,0.44299333333333313,0.4415966666666668,0.45596000000000014,0.458153333333333,0.47766999999999965,0.5199333333333335,0.58414,0.7943266666666666,0.5657133333333332,0.48336000000000007,0.6436066666666664,0.5720733333333334,0.5204639999999998,0.6485533333333334,0.5720720000000004,0.5989600000000004,0.37413333333333326,0.5768199999999997,0.60993,0.5931000000000002,0.6049100000000005,0.6792966666666663,0.7173850000000002,0.6359366666666666,0.0
