,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_JHU_UNC_GAS_StatMechPool,0.4843040000000003,0.64664,1.5224759999999977,0.36205600000000016,0.7041159999999994,0.69576,0.6905080000000003,0.6833520000000002,0.718796,0.42331999999999975,0.5113119999999999,0.7445200000000005,0.4869239999999999,0.3451800000000001,0.6937000000000002,0.7029639999999998,0.3619400000000001,0.42562800000000006,0.730372,0.5234280000000001,0.0,0.219695,0.7015449999999999,0.49790400000000007,,0.3983200000000003,0.8579879999999996,0.4767319999999999,0.44062799999999996,0.6195120000000003,0.3909450000000003,0.5429399999999999,0.5253279999999997,0.45041200000000003,0.52316
FH_Karlen_pypm,0.4864840000000001,0.6420066666666667,1.536394999999999,0.266875,0.5595600000000001,0.5413899999999999,0.5348150000000004,0.5418900000000002,0.5628850000000001,0.35625500000000015,0.42335,0.6860549999999997,0.48985000000000034,0.22779999999999997,0.7577000000000002,0.6711749999999997,0.4896533333333331,0.33738000000000024,0.7419049999999998,0.52171,0.219695,0.0,0.604693333333333,0.37831,0.5522400000000001,0.40618499999999996,0.7852599999999994,0.39318400000000014,0.389488,0.5654,0.4949466666666668,0.5784,0.4971200000000004,0.3954480000000001,0.47681600000000013
FH_LANL_GrowthRate,0.6420000000000001,0.6545599999999999,1.5575750000000006,0.5905400000000001,0.43003499999999995,0.40321999999999997,0.4323950000000004,0.37208500000000005,0.38731000000000004,0.4599850000000001,0.7512099999999995,0.5659400000000001,0.5888850000000002,0.4970900000000003,0.5262600000000002,0.8257800000000001,0.5937700000000001,0.633405,0.5204300000000002,0.4634900000000002,0.7015449999999999,0.604693333333333,0.0,0.4209150000000001,,0.6650449999999998,0.6876299999999995,0.7301300000000001,0.8276949999999998,0.8041049999999998,0.7288600000000002,0.6555466666666668,0.6652449999999998,0.718035,0.6181899999999999
FH_LNQ_ens1,0.529372,0.6634400000000004,1.583599999999999,0.306896,0.3859480000000002,0.39015200000000005,0.375972,0.42707600000000057,0.3809160000000005,0.35838,0.45015599999999983,0.5774919999999997,0.5674720000000001,0.327232,0.8177800000000001,0.5795679999999999,0.8024266666666663,0.39056399999999997,0.6143639999999999,0.6225079999999992,0.49790400000000007,0.37831,0.4209150000000001,0.0,,0.4741200000000001,0.6951240000000002,0.3942200000000003,0.5064079999999999,0.5760560000000006,0.7137600000000003,0.5833949999999999,0.48603999999999997,0.4868719999999999,0.512596
FH_MIT_ISOLAT_Mixtures,0.6165400000000001,0.6152,,,,,,,,,,,,0.6098,,,,,,,,0.5522400000000001,,,0.0,,0.6980400000000003,0.5452199999999998,0.5132600000000002,,,,,0.55548,0.52572
FH_Microsoft_DeepSTIA,0.4817680000000003,0.6607733333333334,1.6913280000000002,0.4337600000000002,0.6433279999999998,0.6577520000000002,0.6519440000000003,0.6889759999999998,0.647204,0.47891200000000017,0.4841680000000002,0.4947120000000002,0.5306560000000001,0.43946000000000013,0.7150599999999998,0.613128,0.5075666666666666,0.4868720000000001,0.6841959999999999,0.5445720000000002,0.3983200000000003,0.40618499999999996,0.6650449999999998,0.4741200000000001,,0.0,0.5865119999999998,0.5183959999999999,0.4736080000000001,0.5610040000000001,0.39912999999999976,0.52152,0.448036,0.5397000000000003,0.5407479999999999
FH_OneQuietNight_ML,0.7180999999999998,0.6771800000000002,1.6184999999999996,0.6629840000000005,0.7264760000000001,0.7290319999999999,0.7539400000000004,0.7702440000000003,0.7218680000000004,0.7465280000000001,0.640148,0.5667799999999998,0.7594799999999993,0.837603333333334,0.7171,0.590716,0.7699133333333333,0.7484719999999995,0.640896,0.8041720000000004,0.8579879999999996,0.7852599999999994,0.6876299999999995,0.6951240000000002,0.6980400000000003,0.5865119999999998,0.0,0.6806033333333334,0.6864366666666668,0.610096,0.7809899999999999,0.7193150000000006,0.6059800000000002,0.7665866666666665,0.6079299999999999
FH_RobertWalraven_ESG,0.4850066666666666,0.6234450000000004,1.5558479999999992,0.2679280000000001,0.6137240000000002,0.636116,0.5520319999999999,0.679536,0.6210480000000003,0.49783999999999984,0.16561199999999995,0.7413399999999999,0.7031760000000004,0.5713533333333327,0.8869800000000002,0.46099999999999985,0.8166133333333332,0.33139199999999974,0.756252,0.8575000000000003,0.4767319999999999,0.39318400000000014,0.7301300000000001,0.3942200000000003,0.5452199999999998,0.5183959999999999,0.6806033333333334,0.0,0.22519000000000006,0.41260800000000036,0.7953399999999996,0.5932250000000001,0.38997200000000004,0.2463266666666666,0.5270799999999999
FH_TTU_squider,0.47997999999999974,0.6524549999999999,1.562779999999997,0.33754800000000007,0.6747599999999997,0.696564,0.6350000000000003,0.7543040000000001,0.693228,0.5226399999999999,0.23989199999999988,0.7539799999999999,0.6844599999999998,0.5711766666666667,0.8593999999999999,0.5213440000000005,0.7102733333333333,0.3679880000000002,0.7345320000000001,0.7758200000000002,0.44062799999999996,0.389488,0.8276949999999998,0.5064079999999999,0.5132600000000002,0.4736080000000001,0.6864366666666668,0.22519000000000006,0.0,0.43322400000000016,0.6752950000000001,0.601285,0.4039519999999999,0.26871333333333347,0.4953400000000004
FH_UCLA_SuEIR,0.6502440000000003,0.6809200000000002,1.5685039999999981,0.487356,0.7013760000000002,0.724208,0.6681760000000001,0.7355559999999997,0.7098839999999996,0.6308160000000003,0.4165360000000002,0.7501119999999997,0.6952520000000003,0.6746320000000001,0.6936400000000001,0.5806640000000003,0.8186999999999995,0.5016519999999999,0.7164000000000003,0.8284200000000004,0.6195120000000003,0.5654,0.8041049999999998,0.5760560000000006,,0.5610040000000001,0.610096,0.41260800000000036,0.43322400000000016,0.0,0.7760199999999997,0.6420700000000007,0.4462560000000002,0.5419120000000003,0.584772
FH_UCSB_ACTS,0.5664100000000001,0.6920866666666668,1.5547899999999981,0.6540000000000002,0.7644499999999995,0.7597949999999999,0.7620649999999997,0.7216450000000004,0.7595500000000005,0.645165,0.7844849999999995,0.6487850000000001,0.5731700000000001,0.5259849999999998,,0.8496349999999988,0.18228999999999998,0.6399699999999998,0.740625,0.46309000000000006,0.3909450000000003,0.4949466666666668,0.7288600000000002,0.7137600000000003,,0.39912999999999976,0.7809899999999999,0.7953399999999996,0.6752950000000001,0.7760199999999997,0.0,0.5533000000000002,0.65994,0.6971049999999996,0.6683849999999993
FH_UMich_RidgeTfReg,0.6734350000000002,0.6220666666666668,1.5594300000000008,0.5624050000000003,0.7157100000000003,0.7140350000000002,0.6999699999999999,0.7130699999999996,0.7313499999999995,0.6073250000000001,0.6327899999999996,0.7963799999999998,0.5812550000000002,0.61829,,0.6828600000000001,0.6563300000000001,0.5371300000000002,0.6957000000000002,0.6493299999999997,0.5429399999999999,0.5784,0.6555466666666668,0.5833949999999999,,0.52152,0.7193150000000006,0.5932250000000001,0.601285,0.6420700000000007,0.5533000000000002,0.0,0.5701349999999998,0.6629700000000001,0.6682450000000004
FH_UVA_Ensemble,0.5467879999999998,0.5935733333333334,1.7076520000000004,0.41294800000000004,0.5745319999999998,0.5885120000000001,0.567888,0.6193960000000006,0.5831560000000003,0.5274600000000003,0.3795440000000002,0.6394599999999998,0.5999960000000002,0.5308800000000001,0.6648000000000001,0.5399759999999999,0.6470666666666666,0.43309600000000015,0.6036320000000001,0.6555760000000002,0.5253279999999997,0.4971200000000004,0.6652449999999998,0.48603999999999997,,0.448036,0.6059800000000002,0.38997200000000004,0.4039519999999999,0.4462560000000002,0.65994,0.5701349999999998,0.0,0.4554160000000006,0.5128600000000002
USC_SI_kJalpha,0.44897999999999966,0.6869849999999998,1.526243999999999,0.30483599999999994,0.6471599999999996,0.6640079999999998,0.6075400000000001,0.6812199999999999,0.6630920000000002,0.5022959999999997,0.28842400000000007,0.7342280000000002,0.6989000000000002,0.5269233333333335,0.8002400000000001,0.50428,0.7023933333333332,0.3523480000000001,0.7492920000000007,0.7546240000000002,0.45041200000000003,0.3954480000000001,0.718035,0.4868719999999999,0.55548,0.5397000000000003,0.7665866666666665,0.2463266666666666,0.26871333333333347,0.5419120000000003,0.6971049999999996,0.6629700000000001,0.4554160000000006,0.0,0.49603999999999976
ensemble_SIkJa_RF,0.5450966666666667,0.6387599999999996,1.5973079999999995,0.4621760000000002,0.6077359999999999,0.589572,0.587508,0.5487680000000003,0.5874040000000003,0.5242400000000002,0.5250040000000002,0.7362159999999996,0.5065640000000001,0.48718333333333314,0.45909999999999995,0.6521560000000004,0.5070133333333332,0.5420999999999998,0.6273960000000001,0.5033440000000005,0.52316,0.47681600000000013,0.6181899999999999,0.512596,0.52572,0.5407479999999999,0.6079299999999999,0.5270799999999999,0.4953400000000004,0.584772,0.6683849999999993,0.6682450000000004,0.5128600000000002,0.49603999999999976,0.0
