,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_Karlen_pypm,0.27657000000000004,0.16665333333333324,0.7579266666666665,0.10466333333333334,1.5569066666666636,0.10466333333333334,0.27657000000000004,0.29917199999999994,0.40731999999999985,0.3759239999999999,0.39910399999999974,0.055119999999999995,0.8765533333333335,0.4975133333333332,0.6192200000000001,0.3631800000000003,0.1587480000000002,0.71834,0.16683,0.09844000000000008,0.0,0.6769799999999999,0.5352799999999999,0.09934666666666676,0.0886466666666668,0.34975333333333336,0.39027500000000037,0.07390333333333333,0.46728333333333355,0.7421149999999994,0.24958000000000008,0.4702733333333332
FH_LANL_GrowthRate,0.49916,0.5650000000000002,0.7745799999999999,0.607,1.3380800000000002,0.607,0.49916,0.52226,0.56464,0.51744,0.56464,0.7199199999999999,0.7819599999999999,0.6404999999999998,,0.62636,,0.7943400000000002,0.5530399999999999,0.52664,0.6769799999999999,0.0,0.7404000000000001,0.71426,0.7204600000000001,0.6892599999999998,0.7077200000000002,0.7157400000000002,0.8398400000000004,0.7006200000000001,0.6775199999999998,0.5155600000000001
FH_MIT_Cassandra,0.6338899999999997,0.5623233333333335,0.7874333333333335,0.5157366666666672,1.4878766666666658,0.5157366666666672,0.6338899999999997,0.6285879999999997,0.6609120000000005,0.6616920000000001,0.6664399999999999,0.5074533333333335,0.8582333333333328,0.630493333333333,0.5914200000000001,0.5765833333333331,0.537612,0.7260800000000001,0.6015800000000001,0.5321800000000003,0.5352799999999999,0.7404000000000001,0.0,0.4803466666666667,0.5023200000000004,0.6439200000000002,0.5821700000000004,0.5117633333333327,0.6029933333333329,0.80251,0.6142266666666665,0.6497499999999997
FH_MIT_ISOLAT_Mixtures,0.3041900000000001,0.18275666666666673,0.6982133333333331,0.11264333333333333,1.392569999999999,0.11264333333333333,0.3041900000000001,0.306712,0.396024,0.367332,0.38389999999999985,0.08815000000000003,0.7428966666666669,0.4673933333333328,0.6037,0.3706366666666666,0.12856399999999998,0.69286,0.1830050000000001,0.13726000000000002,0.09934666666666676,0.71426,0.4803466666666667,0.0,0.09246000000000011,0.3132366666666669,0.3823700000000002,0.09673000000000007,0.4239133333333337,0.6596649999999997,0.21786000000000003,0.46726000000000006
FH_MOBS_GLEAM_COVID,0.3182333333333332,0.20633333333333337,0.7674000000000001,0.1254433333333335,1.5629766666666678,0.1254433333333335,0.3182333333333332,0.3550960000000001,0.453732,0.4381320000000001,0.4523599999999999,0.04102666666666659,0.9055866666666672,0.5436633333333325,0.5599800000000001,0.3809400000000002,0.132436,0.7792600000000002,0.17264000000000013,0.11753666666666678,0.0886466666666668,0.7204600000000001,0.5023200000000004,0.09246000000000011,0.0,0.36040333333333324,0.382895,0.04256000000000001,0.4591966666666667,0.8231049999999996,0.2903433333333334,0.5128566666666666
FH_MUNI_ARIMA,0.3615633333333336,0.4117900000000001,0.7203333333333333,0.30655333333333334,1.4098099999999996,0.30655333333333334,0.3615633333333336,0.39736400000000005,0.44010399999999994,0.38615599999999983,0.4276879999999999,0.3502400000000001,0.8725866666666667,0.5557900000000003,0.6341600000000001,0.4984099999999997,0.35381200000000007,0.8077399999999997,0.3378499999999999,0.34098999999999985,0.34975333333333336,0.6892599999999998,0.6439200000000002,0.3132366666666669,0.36040333333333324,0.0,0.5001549999999999,0.3524133333333334,0.5755333333333337,0.6926700000000001,0.3943366666666666,0.47385666666666654
FH_Microsoft_DeepSTIA,0.45828000000000024,0.43475000000000025,0.7539333333333335,0.44340500000000027,1.6692800000000005,0.44340500000000027,0.45828000000000024,0.48704,0.49244000000000054,0.5565533333333332,0.49244000000000054,0.3965300000000001,0.7540599999999996,0.5410599999999999,0.4612000000000001,0.44272500000000015,0.31569333333333344,0.47106000000000015,0.4652749999999999,0.3450300000000002,0.39027500000000037,0.7077200000000002,0.5821700000000004,0.3823700000000002,0.382895,0.5001549999999999,0.0,0.40578000000000003,0.6414,0.6946733333333334,0.44307500000000005,0.5442699999999999
FH_RobertWalraven_ESG,0.30118666666666666,0.18918333333333337,0.7717333333333333,0.10054000000000009,1.5334433333333313,0.10054000000000009,0.30118666666666666,0.3528439999999999,0.46229200000000004,0.4245920000000002,0.4505399999999999,0.03243666666666667,0.9042933333333328,0.52871,0.5902200000000001,0.4014933333333336,0.12173600000000004,0.7645800000000003,0.16582500000000003,0.12168333333333334,0.07390333333333333,0.7157400000000002,0.5117633333333327,0.09673000000000007,0.04256000000000001,0.3524133333333334,0.40578000000000003,0.0,0.4604366666666673,0.7875849999999996,0.2629166666666667,0.5067566666666669
FH_TTU_squider,0.47795000000000015,0.5043133333333336,0.8033266666666667,0.42919,1.3236833333333313,0.42919,0.47795000000000015,0.5345640000000002,0.5933480000000001,0.5668640000000001,0.5832999999999996,0.4647433333333339,0.9393933333333331,0.5225233333333338,0.4970199999999999,0.4590066666666671,0.41468800000000006,0.84996,0.5323000000000004,0.4568300000000001,0.46728333333333355,0.8398400000000004,0.6029933333333329,0.4239133333333337,0.4591966666666667,0.5755333333333337,0.6414,0.4604366666666673,0.0,0.9976249999999998,0.5231700000000001,0.5685133333333336
FH_UMich_RidgeTfReg,0.7536399999999996,0.7322850000000003,0.7307300000000003,0.7515599999999995,1.4090399999999994,0.7515599999999995,0.7536399999999996,0.7027049999999998,0.6772099999999999,0.7097600000000003,0.7068449999999997,0.7805300000000003,0.5092600000000004,0.7475749999999999,0.8987000000000003,0.7851150000000006,0.8103933333333333,0.81756,0.7510199999999999,0.7741200000000004,0.7421149999999994,0.7006200000000001,0.80251,0.6596649999999997,0.8231049999999996,0.6926700000000001,0.6946733333333334,0.7875849999999996,0.9976249999999998,0.0,0.6713250000000002,0.7317199999999998
FH_UVA_Ensemble,0.29407333333333346,0.2948766666666667,0.7033866666666666,0.2372233333333332,1.4883999999999993,0.2372233333333332,0.29407333333333346,0.369124,0.4357400000000003,0.39388799999999996,0.42006800000000005,0.26451333333333327,0.8282833333333331,0.48439333333333345,0.57096,0.45109999999999995,0.30600399999999983,0.63044,0.2529949999999998,0.2935699999999999,0.24958000000000008,0.6775199999999998,0.6142266666666665,0.21786000000000003,0.2903433333333334,0.3943366666666666,0.44307500000000005,0.2629166666666667,0.5231700000000001,0.6713250000000002,0.0,0.48650666666666686
USC_SI_kJalpha,0.28705666666666685,0.4696433333333335,0.669086666666667,0.4477933333333335,1.4579499999999994,0.4477933333333335,0.28705666666666685,0.3382840000000001,0.2941000000000002,0.3529480000000001,0.33782800000000013,0.48323,0.8816966666666666,0.5266300000000002,0.42225999999999997,0.42769000000000007,0.5051719999999998,0.6397199999999998,0.35135500000000003,0.41619333333333364,0.4702733333333332,0.5155600000000001,0.6497499999999997,0.46726000000000006,0.5128566666666666,0.47385666666666654,0.5442699999999999,0.5067566666666669,0.5685133333333336,0.7317199999999998,0.48650666666666686,0.0
