,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_JHU_UNC_GAS_StatMechPool,0.5016200000000003,0.66478,1.5488600000000003,0.374845,0.5508250000000001,0.5151600000000001,0.5444250000000003,0.48864500000000016,0.5520900000000002,0.3806800000000001,0.5205550000000001,0.7249900000000001,0.4537150000000001,0.26045999999999986,0.6937000000000002,0.81164,0.3022600000000001,0.47034499999999996,0.6243150000000002,0.3689050000000003,0.0,0.22312999999999994,0.5899800000000001,0.44289000000000023,0.5305599999999999,0.41663500000000014,0.7459300000000002,0.5896950000000001,0.4616549999999999,0.5434200000000001,0.3871933333333335,0.5524599999999998,,0.5335749999999999,0.4292750000000002,0.4012650000000001
FH_Karlen_pypm,0.4266166666666669,0.712325,1.5521499999999961,0.2570800000000001,0.4759300000000002,0.43838666666666676,0.4632166666666664,0.4112466666666672,0.46783999999999965,0.41124000000000016,0.4184533333333337,0.5843099999999999,0.45226333333333363,0.16584500000000002,0.7577000000000002,0.7620800000000003,0.39825333333333324,0.3200433333333332,0.5653799999999993,0.4185033333333335,0.22312999999999994,0.0,0.5150080000000001,0.2844499999999998,0.3720333333333333,0.41678999999999994,0.587873333333333,0.5383299999999999,0.4497700000000005,0.5704333333333332,0.45585200000000003,0.5396466666666666,0.8789799999999997,0.4532733333333334,0.36307333333333336,0.34544000000000014
FH_LANL_GrowthRate,0.4749080000000003,0.6887533333333333,1.5749440000000006,0.39432800000000023,0.5481320000000001,0.536556,0.4878960000000002,0.49820399999999987,0.4878960000000002,0.6237279999999998,0.5009000000000002,0.5162000000000004,0.56084,0.5254466666666663,0.5262600000000002,0.7687480000000001,0.5387959999999999,0.5351880000000002,0.505396,0.5136280000000001,0.5899800000000001,0.5150080000000001,0.0,0.4345400000000002,0.4449666666666668,0.6554933333333334,0.5616599999999999,0.5013439999999997,0.6027680000000003,0.641112000000001,0.5665150000000001,0.63022,0.8149000000000002,0.5081279999999998,0.4425159999999999,0.5230240000000003
FH_LNQ_ens1,0.4405700000000002,0.6780649999999997,1.5797933333333338,0.2326466666666668,0.37129666666666705,0.3693666666666666,0.3567033333333334,0.3705600000000004,0.36786333333333354,0.39513666666666664,0.3436500000000003,0.5705999999999999,0.5630033333333333,0.33603000000000016,0.8177800000000001,0.6573266666666661,0.5754733333333336,0.309146666666667,0.5240099999999998,0.5663066666666671,0.44289000000000023,0.2844499999999998,0.4345400000000002,0.0,0.3981066666666666,0.4814150000000001,0.5534499999999997,0.41358333333333364,0.41885999999999973,0.5047133333333335,0.5971359999999998,0.5386866666666668,0.8433100000000003,0.41860333333333327,0.3699700000000004,0.4011633333333335
FH_MSRA_DeepST,0.5460066666666666,0.6743666666666669,1.6752800000000008,0.46343333333333353,0.6730133333333335,0.6302066666666662,0.6750866666666668,0.5980666666666667,0.6750866666666668,0.7852133333333341,0.46052000000000004,0.27942000000000006,0.28990000000000005,0.49692000000000003,,0.8222666666666668,0.24786666666666665,0.4444866666666667,0.26062,0.32044,0.5305599999999999,0.3720333333333333,0.4449666666666668,0.3981066666666666,0.0,0.09329999999999998,0.2062266666666666,0.6980666666666664,0.5358666666666668,0.5439866666666668,0.2312533333333333,0.47962000000000005,1.0365700000000002,0.4504933333333333,0.5600733333333336,0.32756
FH_Microsoft_DeepSTIA,0.4982350000000001,0.6479600000000001,1.7076899999999997,0.4783400000000003,0.5465850000000001,0.556685,0.5534800000000003,0.5874649999999996,0.5588299999999997,0.4925300000000001,0.5359049999999997,0.511585,0.5420750000000001,0.4382949999999998,0.7150599999999998,0.6724650000000003,0.443635,0.54794,0.6116549999999997,0.4521349999999997,0.41663500000000014,0.41678999999999994,0.6554933333333334,0.4814150000000001,0.09329999999999998,0.0,0.5013150000000001,0.5955250000000001,0.48492999999999986,0.5397299999999999,0.3473866666666667,0.5102399999999997,,0.4423600000000001,0.5204400000000002,0.49469000000000013
FH_OneQuietNight_ML,0.6324099999999998,0.6999850000000001,1.5950366666666667,0.5995633333333341,0.6946300000000001,0.6669700000000001,0.7011366666666663,0.660203333333333,0.6881899999999995,0.8181966666666659,0.6203566666666668,0.3213100000000002,0.5479266666666667,0.7037250000000002,0.7171,0.8272966666666668,0.43259666666666646,0.6617766666666665,0.4308633333333332,0.5542033333333332,0.7459300000000002,0.587873333333333,0.5616599999999999,0.5534499999999997,0.2062266666666666,0.5013150000000001,0.0,0.8339333333333332,0.6981066666666674,0.6096866666666668,0.2914199999999998,0.6632866666666666,1.2064899999999994,0.6182266666666668,0.7408833333333337,0.4944333333333334
FH_RobertWalraven_ESG,0.4938766666666665,0.6673100000000002,1.5735299999999988,0.39348666666666693,0.3524100000000002,0.3832166666666672,0.3086200000000004,0.42822333333333357,0.3215266666666671,0.45518666666666735,0.3713466666666668,0.66816,0.7570199999999995,0.46991499999999997,0.8869800000000002,0.5286100000000006,0.8650066666666661,0.4390800000000005,0.7337399999999997,0.7163433333333336,0.5896950000000001,0.5383299999999999,0.5013439999999997,0.41358333333333364,0.6980666666666664,0.5955250000000001,0.8339333333333332,0.0,0.4693100000000001,0.5665,0.945308,0.5889399999999999,0.34709999999999985,0.4336600000000002,0.3904600000000002,0.6137299999999993
FH_TTU_squider,0.536436666666667,0.7461550000000002,1.5425466666666645,0.4014533333333337,0.4925800000000002,0.5100666666666668,0.4875466666666669,0.5543,0.4947466666666668,0.46427333333333337,0.32820666666666704,0.6468933333333333,0.6065666666666668,0.4309500000000002,0.8593999999999999,0.7063933333333341,0.6537766666666665,0.39064666666666675,0.6216233333333337,0.5439366666666663,0.4616549999999999,0.4497700000000005,0.6027680000000003,0.41885999999999973,0.5358666666666668,0.48492999999999986,0.6981066666666674,0.4693100000000001,0.0,0.5174966666666669,0.6857359999999998,0.5780466666666665,0.8302999999999997,0.4660599999999996,0.4653433333333337,0.5107899999999996
FH_UCLA_SuEIR,0.5786666666666664,0.71595,1.573736666666665,0.49439000000000005,0.6008366666666661,0.6040733333333331,0.5954833333333333,0.6169100000000003,0.6026933333333336,0.620703333333334,0.4626533333333338,0.5978966666666666,0.6329533333333333,0.5664500000000001,0.6936400000000001,0.7090099999999999,0.6684599999999996,0.5088999999999999,0.6093800000000001,0.6293533333333333,0.5434200000000001,0.5704333333333332,0.641112000000001,0.5047133333333335,0.5439866666666668,0.5397299999999999,0.6096866666666668,0.5665,0.5174966666666669,0.0,0.6468440000000002,0.5793666666666666,0.7326200000000002,0.5186299999999997,0.6239600000000004,0.5599666666666664
FH_UCSB_ACTS,0.5498400000000004,0.7023200000000002,1.5738039999999986,0.6010239999999999,0.8278159999999994,0.7715280000000002,0.8250599999999991,0.6985119999999996,0.814243999999999,0.7832960000000001,0.6864119999999996,0.44344000000000006,0.32232399999999994,0.5332799999999998,,0.9917959999999995,0.14041600000000007,0.6177159999999997,0.3804120000000002,0.345916,0.3871933333333335,0.45585200000000003,0.5665150000000001,0.5971359999999998,0.2312533333333333,0.3473866666666667,0.2914199999999998,0.945308,0.6857359999999998,0.6468440000000002,0.0,0.5386800000000002,1.1943599999999992,0.594264,0.7058720000000002,0.39384800000000003
FH_UMich_RidgeTfReg,0.5988666666666664,0.6545599999999999,1.5575133333333333,0.5144000000000001,0.7111866666666667,0.6923266666666669,0.7058466666666666,0.6712533333333335,0.7306333333333335,0.5603066666666668,0.6011466666666669,0.7716866666666663,0.5192333333333335,0.5470399999999996,,0.7501666666666668,0.60148,0.48030666666666644,0.594186666666667,0.5840799999999999,0.5524599999999998,0.5396466666666666,0.63022,0.5386866666666668,0.47962000000000005,0.5102399999999997,0.6632866666666666,0.5889399999999999,0.5780466666666665,0.5793666666666666,0.5386800000000002,0.0,0.72938,0.5335733333333332,0.6524933333333334,0.5863733333333332
FH_USACE_ERDC_SEIR,0.6966899999999999,0.7076299999999999,1.58078,0.8179900000000002,0.36261000000000004,0.4243000000000003,0.34288,0.4915,0.34288,0.5181900000000002,0.8281300000000001,0.9458000000000009,1.1934099999999994,,,0.4499799999999999,1.2250399999999995,0.9773599999999998,1.2171299999999994,0.9049599999999998,,0.8789799999999997,0.8149000000000002,0.8433100000000003,1.0365700000000002,,1.2064899999999994,0.34709999999999985,0.8302999999999997,0.7326200000000002,1.1943599999999992,0.72938,0.0,0.7361499999999996,0.6335499999999997,0.9173300000000003
FH_UVA_Ensemble,0.46438000000000007,0.6441650000000004,1.6964666666666657,0.3970400000000002,0.46501000000000003,0.4730600000000001,0.4717399999999999,0.49050666666666626,0.4667266666666664,0.5370366666666668,0.41673999999999983,0.5484633333333334,0.5606066666666667,0.4552800000000002,0.6648000000000001,0.6176966666666662,0.59092,0.36575000000000046,0.5170733333333337,0.5644399999999997,0.5335749999999999,0.4532733333333334,0.5081279999999998,0.41860333333333327,0.4504933333333333,0.4423600000000001,0.6182266666666668,0.4336600000000002,0.4660599999999996,0.5186299999999997,0.594264,0.5335733333333332,0.7361499999999996,0.0,0.4564333333333332,0.48255
USC_SI_kJalpha,0.4347333333333337,0.6752750000000001,1.5341499999999975,0.2984066666666667,0.35864,0.3572900000000001,0.3299599999999999,0.3599000000000001,0.3425966666666666,0.4121700000000003,0.4061566666666669,0.6027033333333334,0.6861933333333335,0.34942,0.8002400000000001,0.6603900000000004,0.6555233333333329,0.41939000000000015,0.6681000000000004,0.5908033333333333,0.4292750000000002,0.36307333333333336,0.4425159999999999,0.3699700000000004,0.5600733333333336,0.5204400000000002,0.7408833333333337,0.3904600000000002,0.4653433333333337,0.6239600000000004,0.7058720000000002,0.6524933333333334,0.6335499999999997,0.4564333333333332,0.0,0.4917700000000005
ensemble_SIkJa_RF,0.49104000000000014,0.7192850000000002,1.590643333333335,0.37539333333333347,0.5332866666666667,0.4870066666666667,0.5188699999999998,0.42725000000000013,0.5136699999999998,0.5409900000000001,0.4549933333333334,0.5752766666666668,0.47084000000000004,0.3727000000000003,0.45909999999999995,0.7793166666666661,0.37796666666666656,0.5032433333333332,0.5186200000000002,0.35906999999999994,0.4012650000000001,0.34544000000000014,0.5230240000000003,0.4011633333333335,0.32756,0.49469000000000013,0.4944333333333334,0.6137299999999993,0.5107899999999996,0.5599666666666664,0.39384800000000003,0.5863733333333332,0.9173300000000003,0.48255,0.4917700000000005,0.0
