,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_Karlen_pypm,0.41925199999999996,0.6366800000000002,1.5265933333333335,0.23855500000000007,0.6253150000000001,0.6380750000000003,0.5767150000000004,0.6430250000000002,0.6487800000000002,0.35733999999999994,0.3768800000000001,0.5505500000000005,0.5190500000000002,0.2320519999999998,0.5693500000000002,0.6520999999999998,0.3036500000000001,0.7873899999999998,0.5563300000000001,0.25154499999999996,0.0,0.6674533333333331,0.33178500000000005,0.41574000000000005,0.38170499999999985,0.7105799999999995,0.35725999999999997,0.3333200000000001,0.46640500000000024,0.523395,0.6606399999999999,0.49625000000000036,0.38534,0.4745520000000002
FH_LANL_GrowthRate,0.6586950000000001,0.6550000000000001,1.5461200000000008,0.6472249999999998,0.3898100000000002,0.37491000000000013,0.4426399999999998,0.37166000000000005,0.37191,0.5303900000000001,0.7743249999999996,0.5666350000000001,0.6183600000000002,0.5696950000000005,0.7826149999999995,0.7293199999999999,0.6412700000000002,0.5636200000000002,0.5653150000000002,0.7322449999999999,0.6674533333333331,0.0,0.4529849999999999,0.5262800000000001,0.7197900000000002,0.6663400000000002,0.7656499999999997,0.8404450000000001,0.7797249999999998,0.7124649999999997,0.68428,0.6758250000000001,0.73554,0.6634150000000002
FH_LNQ_ens1,0.49256400000000045,0.6460000000000005,1.5752899999999985,0.2871359999999997,0.4551480000000001,0.4730360000000001,0.4390600000000002,0.4912040000000004,0.4822440000000004,0.32099200000000044,0.438756,0.5253480000000001,0.51282,0.2828840000000001,0.5313239999999998,0.9439299999999996,0.3301960000000001,0.6753479999999998,0.6097800000000002,0.4751920000000001,0.33178500000000005,0.4529849999999999,0.0,0.18425999999999995,0.5114360000000002,0.6813,0.36837200000000014,0.4563000000000004,0.509596,0.7228280000000001,0.665644,0.47701599999999994,0.43056,0.46258000000000016
FH_MIT_ISOLAT_Mixtures,0.3918299999999999,0.5761100000000002,,0.1574,0.48528000000000004,0.5627000000000001,0.4363199999999998,0.5638000000000001,0.5638000000000001,0.2366,0.29255999999999993,0.25742,0.49155999999999983,0.44752999999999993,0.46303999999999995,,0.16756000000000004,0.8496800000000002,0.4819199999999999,0.38286000000000003,0.41574000000000005,0.5262800000000001,0.18425999999999995,0.0,0.5447199999999999,0.6616599999999999,0.3579699999999999,0.34285000000000027,0.28430000000000005,0.6514399999999999,0.9975200000000002,0.4269600000000001,0.3797900000000002,0.46927000000000013
FH_Microsoft_DeepSTIA,0.5033760000000004,0.6274350000000003,1.6751450000000006,0.43156800000000006,0.6930959999999999,0.6977000000000004,0.6815120000000006,0.6893040000000005,0.6977240000000003,0.4709920000000001,0.4954040000000002,0.5331080000000002,0.460772,0.4188080000000001,0.6503599999999998,0.4052299999999998,0.49626000000000015,0.6832840000000004,0.4412639999999999,0.37666000000000005,0.38170499999999985,0.7197900000000002,0.5114360000000002,0.5447199999999999,0.0,0.63858,0.5507079999999996,0.48506799999999994,0.5759359999999998,0.4014519999999997,0.54884,0.4743,0.5279280000000001,0.483752
FH_OneQuietNight_ML,0.6962166666666668,0.6802360000000001,1.6149200000000001,0.6149600000000002,0.7855000000000001,0.7687600000000004,0.8036399999999997,0.768564,0.7685400000000001,0.6767600000000003,0.6333240000000007,0.628352,0.643016,0.7677900000000001,0.6017880000000001,0.5998800000000002,0.7214280000000002,0.6123160000000001,0.6789239999999996,0.8202199999999996,0.7105799999999995,0.6663400000000002,0.6813,0.6616599999999999,0.63858,0.0,0.66648,0.6602199999999998,0.596212,0.8410319999999999,0.7189080000000005,0.5672679999999999,0.7235999999999995,0.5423499999999997
FH_RobertWalraven_ESG,0.452163333333333,0.6184720000000004,1.5502799999999994,0.23816799999999996,0.6728480000000001,0.7135119999999999,0.6062919999999998,0.7370200000000003,0.7165600000000002,0.4593719999999997,0.164704,0.6919559999999996,0.6604599999999998,0.537383333333333,0.39812400000000026,0.9799499999999998,0.26173600000000036,0.8134799999999999,0.843888,0.459048,0.35725999999999997,0.7656499999999997,0.36837200000000014,0.3579699999999999,0.5507079999999996,0.66648,0.0,0.18211666666666654,0.3355600000000005,0.7885639999999992,0.6747440000000001,0.3751639999999999,0.2077399999999999,0.48138000000000064
FH_TTU_squider,0.41401666666666637,0.639432,1.5658149999999995,0.2854760000000003,0.7435559999999997,0.7758399999999995,0.6745399999999997,0.797408,0.7758880000000001,0.469216,0.22582799999999992,0.6800080000000002,0.6371960000000001,0.5270500000000002,0.4443760000000003,0.7970699999999998,0.3317200000000002,0.7558239999999997,0.7365079999999999,0.42357200000000017,0.3333200000000001,0.8404450000000001,0.4563000000000004,0.34285000000000027,0.48506799999999994,0.6602199999999998,0.18211666666666654,0.0,0.3625760000000001,0.6779079999999996,0.678736,0.38899199999999995,0.21818666666666653,0.446916666666667
FH_UCLA_SuEIR,0.5880000000000002,0.6731350000000004,1.5703249999999989,0.42569200000000007,0.723068,0.7504319999999997,0.6682640000000002,0.7615479999999999,0.748356,0.5513879999999999,0.38491999999999993,0.7041439999999994,0.6440120000000003,0.5959879999999993,0.5389879999999999,0.8591700000000002,0.41663199999999995,0.7357919999999999,0.7750239999999998,0.565764,0.46640500000000024,0.7797249999999998,0.509596,0.28430000000000005,0.5759359999999998,0.596212,0.3355600000000005,0.3625760000000001,0.0,0.7838119999999995,0.6969480000000002,0.4227639999999999,0.4476640000000003,0.5379360000000001
FH_UCSB_ACTS,0.6015279999999997,0.6566500000000004,1.5547899999999981,0.662916,0.7172759999999997,0.7150239999999997,0.7101319999999993,0.6795800000000001,0.7099040000000001,0.658592,0.7497679999999999,0.6414159999999997,0.5864799999999998,0.5538560000000001,0.8377039999999986,0.18228999999999998,0.6631479999999997,0.7440519999999999,0.49898000000000003,0.4208840000000004,0.523395,0.7124649999999997,0.7228280000000001,0.6514399999999999,0.4014519999999997,0.8410319999999999,0.7885639999999992,0.6779079999999996,0.7838119999999995,0.0,0.5886240000000003,0.6822839999999999,0.7039679999999999,0.6677279999999994
FH_UMich_RidgeTfReg,0.736072,0.632185,1.5594300000000008,0.6419360000000001,0.7362040000000001,0.7199000000000002,0.7480640000000002,0.7174599999999995,0.7320839999999995,0.6817839999999998,0.6821479999999996,0.8274039999999999,0.601712,0.6765159999999998,0.7107760000000001,0.6563300000000001,0.626548,0.664484,0.6657439999999998,0.6305159999999996,0.6606399999999999,0.68428,0.665644,0.9975200000000002,0.54884,0.7189080000000005,0.6747440000000001,0.678736,0.6969480000000002,0.5886240000000003,0.0,0.6048399999999998,0.7238800000000001,0.6906240000000006
FH_UVA_Ensemble,0.5245559999999999,0.5995600000000002,1.7083100000000007,0.3984600000000001,0.5982879999999999,0.6054200000000004,0.5759319999999999,0.6145640000000003,0.6051280000000002,0.5214680000000004,0.37006800000000006,0.6177399999999997,0.5583760000000001,0.5392719999999998,0.5154520000000001,0.72678,0.4305440000000003,0.609948,0.6330399999999998,0.5411000000000001,0.49625000000000036,0.6758250000000001,0.47701599999999994,0.4269600000000001,0.4743,0.5672679999999999,0.3751639999999999,0.38899199999999995,0.4227639999999999,0.6822839999999999,0.6048399999999998,0.0,0.4425840000000002,0.48434800000000006
USC_SI_kJalpha,0.3821666666666667,0.6629359999999999,1.5256299999999994,0.284068,0.6821159999999998,0.7235799999999999,0.6276319999999999,0.7401400000000002,0.7244120000000003,0.49575599999999986,0.27777600000000013,0.6466319999999999,0.6811000000000005,0.5199233333333334,0.41558000000000017,0.8720699999999997,0.28722800000000015,0.8122560000000001,0.759572,0.4532480000000001,0.38534,0.73554,0.43056,0.3797900000000002,0.5279280000000001,0.7235999999999995,0.2077399999999999,0.21818666666666653,0.4476640000000003,0.7039679999999999,0.7238800000000001,0.4425840000000002,0.0,0.46638666666666684
ensemble_SIkJa_RF,0.5081933333333333,0.6289600000000001,1.5991799999999996,0.4394600000000003,0.5796440000000004,0.5848399999999999,0.5572600000000001,0.5830560000000002,0.5768360000000002,0.5152600000000003,0.4932079999999999,0.6118080000000002,0.5236880000000003,0.48103999999999975,0.5852600000000001,0.6365900000000002,0.4817719999999999,0.6761520000000002,0.5547200000000004,0.53292,0.4745520000000002,0.6634150000000002,0.46258000000000016,0.46927000000000013,0.483752,0.5423499999999997,0.48138000000000064,0.446916666666667,0.5379360000000001,0.6677279999999994,0.6906240000000006,0.48434800000000006,0.46638666666666684,0.0
