,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_LANL_GrowthRate,0.8673666666666662,0.9297000000000006,1.4964699999999989,0.6194699999999994,1.0685999999999993,1.0956879999999996,0.6122760000000004,1.0958799999999989,1.1060699999999992,0.7469233333333332,0.41771333333333327,1.06625,0.68384,0.4914099999999999,1.0072966666666658,0.7203466666666664,0.8950049999999995,0.7374933333333336,0.7474200000000003,0.926873333333333,0.0,0.8581666666666659,0.5675599999999996,0.24264666666666665,0.6111639999999998,0.2676699999999999,0.6977100000000002,0.8598866666666661,0.5899666666666668,0.9377300000000001,0.5876833333333333,0.29446,0.9512066666666652
FH_LNQ_ens1,0.4634733333333336,0.828426666666667,1.308566666666667,0.5821066666666664,0.4740680000000001,0.4507640000000003,0.6357479999999999,0.4027320000000002,0.4627933333333332,0.635116666666666,0.8695333333333334,0.47532333333333315,0.7564666666666664,0.9169466666666662,0.5424966666666665,0.6690033333333333,0.29772500000000013,0.6660733333333332,0.20188999999999996,0.5797633333333326,0.8581666666666659,0.0,0.7800899999999996,0.9138333333333336,0.8195480000000006,1.0165500000000005,0.29517000000000004,0.6818299999999996,0.6075266666666668,0.6416800000000003,0.6305199999999995,0.27972000000000014,0.4489466666666668
FH_MSRA_DeepST,0.8320399999999999,0.8809600000000004,1.46072,0.9357999999999997,0.8529699999999998,0.8459399999999998,0.6053299999999999,0.85198,0.85198,0.7446699999999999,0.6048200000000001,0.8566200000000005,0.6278599999999999,0.5470999999999999,0.7799600000000001,0.7700300000000001,0.8194799999999997,0.8467300000000002,0.8070400000000003,0.86635,0.5675599999999996,0.7800899999999996,0.0,0.5851800000000003,0.6482200000000001,0.47158,0.8599799999999999,0.6957800000000002,,,0.6386100000000001,0.6022199999999999,0.7641800000000002
FH_RobertWalraven_ESG,1.0180399999999992,0.8393100000000006,1.4128900000000004,0.6814433333333335,1.19954,1.2374040000000004,0.5987719999999999,1.2023560000000002,1.188673333333334,0.8484700000000004,0.3376200000000001,1.18979,0.7384733333333332,0.44964333333333345,1.0151833333333335,0.7821500000000005,1.0549099999999993,0.7757533333333332,1.1855699999999996,1.0260066666666667,0.24264666666666665,0.9138333333333336,0.5851800000000003,0.0,0.6025479999999999,0.20045666666666667,1.1160899999999998,0.8219366666666669,0.5932866666666671,0.8743600000000002,0.5456566666666665,1.04006,1.0581133333333332
FH_TTU_squider,0.90606,0.8212440000000002,1.1676239999999998,0.7316159999999997,1.0146959999999992,1.067348,0.6725919999999996,1.0462639999999988,1.0462639999999988,0.757904,0.5651040000000002,1.0508119999999987,0.6408333333333336,0.6776399999999995,0.9919319999999998,0.8567639999999997,0.9602050000000001,0.8219840000000002,0.9254900000000003,0.9690519999999996,0.6111639999999998,0.8195480000000006,0.6482200000000001,0.6025479999999999,0.0,0.622748,0.8581500000000003,0.9248559999999997,0.7123099999999997,0.8836599999999999,0.6857559999999998,0.7063399999999999,0.9598399999999999
FH_UCLA_SuEIR,1.0436533333333329,0.8790366666666665,1.4615133333333339,0.7430066666666669,1.222068,1.2839120000000002,0.6548199999999998,1.3008000000000004,1.266133333333334,0.8663266666666671,0.3449766666666667,1.246993333333333,0.7360533333333328,0.4087633333333331,1.0870666666666673,0.7855766666666664,1.1869600000000005,0.7847633333333333,1.3290599999999997,1.0944033333333327,0.2676699999999999,1.0165500000000005,0.47158,0.20045666666666667,0.622748,0.0,1.2676699999999996,0.8595933333333342,0.6276399999999999,0.8750599999999996,0.591373333333333,1.1115600000000003,1.1244033333333336
FH_UCSB_ACTS,0.48683999999999983,0.9468800000000002,1.37695,0.4282099999999999,0.43923,0.32932,0.88214,0.3051399999999999,0.3051399999999999,0.42628000000000005,0.9981699999999999,0.22532000000000008,0.6007399999999999,0.99316,0.4105700000000001,0.5558000000000001,0.25181000000000003,0.7271899999999998,0.17072999999999994,0.19248000000000012,0.6977100000000002,0.29517000000000004,0.8599799999999999,1.1160899999999998,0.8581500000000003,1.2676699999999996,0.0,0.6995800000000001,0.8925799999999999,,0.7929299999999992,0.33509999999999984,0.3174400000000001
FH_UMich_RidgeTfReg,0.6203066666666667,0.7784133333333331,1.261963333333333,0.7941933333333333,0.7615040000000003,0.7064599999999998,0.7740719999999996,0.69354,0.7179466666666665,0.8342833333333329,0.8102366666666666,0.7136866666666669,0.7291333333333331,0.7940599999999999,0.7564833333333336,0.7072033333333333,0.6212799999999998,0.8944566666666665,0.6875399999999998,0.7702133333333336,0.8598866666666661,0.6818299999999996,0.6957800000000002,0.8219366666666669,0.9248559999999997,0.8595933333333342,0.6995800000000001,0.0,0.8468599999999997,0.06296999999999998,0.8352833333333327,0.7464799999999998,0.7762566666666664
FH_USACE_ERDC_SEIR,0.9074599999999998,0.89608,1.4096800000000003,0.6221466666666667,0.7254499999999999,0.74483,0.4137899999999999,0.7359199999999997,0.7818000000000004,0.6866,0.67896,0.868393333333333,0.7398799999999998,0.7568266666666668,0.6709133333333335,0.7750866666666664,0.8514200000000001,0.6891733333333332,0.92432,0.8595333333333336,0.5899666666666668,0.6075266666666668,,0.5932866666666671,0.7123099999999997,0.6276399999999999,0.8925799999999999,0.8468599999999997,0.0,0.7261999999999997,0.31576666666666653,,0.6928199999999999
UMich_RidgeTfReg,,0.6603,1.15028,0.8258000000000001,0.86218,0.819,0.8983599999999999,0.8982800000000001,0.8538899999999998,0.85016,0.81739,0.7368100000000003,,0.8174300000000001,0.84238,0.7254400000000003,0.5809200000000001,0.8736599999999995,,0.8445200000000002,0.9377300000000001,0.6416800000000003,,0.8743600000000002,0.8836599999999999,0.8750599999999996,,0.06296999999999998,0.7261999999999997,0.0,0.8554899999999996,,0.8072199999999996
USC_SI_kJalpha,0.8459266666666666,0.8759299999999992,1.4064466666666653,0.6880466666666671,0.753772,0.813732,0.45448800000000017,0.7690479999999994,0.7992699999999996,0.7089733333333332,0.6399266666666668,0.8552966666666668,0.753826666666667,0.7592866666666663,0.7263366666666667,0.8283366666666664,0.7791050000000007,0.628713333333333,0.86338,0.8334233333333333,0.5876833333333333,0.6305199999999995,0.6386100000000001,0.5456566666666665,0.6857559999999998,0.591373333333333,0.7929299999999992,0.8352833333333327,0.31576666666666653,0.8554899999999996,0.0,0.71918,0.7154766666666663
USC_SI_kJalpha_RF,0.51688,0.8876199999999997,1.5859599999999998,0.4893799999999999,0.33814,0.28413999999999995,0.5761800000000001,0.3228200000000001,0.3228200000000001,0.3836,0.9463600000000001,0.25214000000000003,0.53028,0.94524,0.5787599999999999,0.50308,0.2455599999999999,0.6124599999999999,0.27846,0.29272000000000015,0.29446,0.27972000000000014,0.6022199999999999,1.04006,0.7063399999999999,1.1115600000000003,0.33509999999999984,0.7464799999999998,,,0.71918,0.0,0.2524599999999999
ensemble_SIkJa_RF,0.43518,0.8931966666666665,1.4052733333333336,0.7696533333333332,0.34208400000000005,0.32209200000000027,0.6922079999999998,0.34253600000000023,0.39155333333333336,0.6662566666666667,1.0375900000000002,0.42860000000000015,0.7559800000000004,1.0570866666666667,0.4795999999999999,0.7884433333333326,0.2777500000000002,0.69955,0.22229000000000002,0.5501433333333333,0.9512066666666652,0.4489466666666668,0.7641800000000002,1.0581133333333332,0.9598399999999999,1.1244033333333336,0.3174400000000001,0.7762566666666664,0.6928199999999999,0.8072199999999996,0.7154766666666663,0.2524599999999999,0.0
