,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_CDC_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_MIT_Cassandra,0.6134680000000003,0.5214320000000002,0.8066200000000001,0.4565280000000002,,1.462435999999999,0.4565280000000002,0.6134680000000003,0.6364049999999999,0.6647550000000002,0.70079,0.6921550000000001,0.45922000000000046,0.9011839999999995,0.5891799999999999,0.5623439999999997,0.5045440000000002,0.5017266666666668,0.46570000000000034,0.4711840000000002,0.0,0.42756,0.44439000000000006,0.6375200000000002,0.6814999999999998,0.5283000000000001,0.4493080000000003,0.49669200000000024,0.8988000000000002,0.5749680000000001,0.6565240000000004
FH_MIT_ISOLAT_Mixtures,0.328544,0.21385999999999997,0.7345000000000002,0.11467199999999998,,1.3419399999999988,0.11467199999999998,0.328544,0.44299,0.5338700000000001,0.515715,0.51949,0.08056800000000004,0.8078480000000005,0.43926800000000016,0.33372800000000036,0.16423600000000002,0.21914666666666666,0.113976,0.10905600000000004,0.42756,0.0,0.06889999999999998,0.38720400000000005,0.5845399999999998,0.24206000000000003,0.08833200000000001,0.3082000000000001,0.7582466666666665,0.23998800000000006,0.5239080000000002
FH_MOBS_GLEAM_COVID,0.31452000000000013,0.16647000000000006,0.7597199999999998,0.09655999999999995,,1.5644150000000012,0.09655999999999995,0.31452000000000013,0.40457999999999994,0.5294599999999999,0.5356933333333334,0.5271733333333333,0.017249999999999977,0.9153249999999996,0.48664500000000027,0.4013200000000003,0.11395000000000004,0.11318,0.091935,0.06543499999999997,0.44439000000000006,0.06889999999999998,0.0,0.4047700000000002,,0.21861999999999995,0.01574499999999998,0.35730999999999985,0.9260500000000002,0.3108849999999999,0.56122
FH_MUNI_ARIMA,0.3982300000000001,0.4843233333333336,0.7048399999999998,0.40904333333333365,0.58264,1.3909299999999998,0.40904333333333365,0.3982300000000001,0.4638200000000001,0.5070799999999998,0.47601200000000016,0.49265600000000015,0.5201366666666667,0.8001833333333337,0.5745699999999998,0.5758466666666671,0.4121633333333337,0.4819333333333334,0.40824000000000005,0.4983133333333336,0.6375200000000002,0.38720400000000005,0.4047700000000002,0.0,0.5011199999999999,0.45670000000000016,0.5151166666666669,0.5931433333333335,0.6779333333333338,0.5015799999999999,0.5485466666666667
FH_MUNI_VAR,0.5366500000000004,0.5699700000000001,,0.6130599999999999,0.6196200000000001,1.4520500000000005,0.6130599999999999,0.5366500000000004,0.55022,0.56585,0.5772799999999999,0.5772799999999999,0.7089700000000001,0.71655,0.5703300000000001,0.70882,0.6551199999999998,0.47891999999999996,0.5210699999999998,0.6342699999999999,0.6814999999999998,0.5845399999999998,,0.5011199999999999,0.0,0.62174,0.70691,0.7723300000000001,0.6242200000000001,0.6091099999999998,0.6478500000000001
FH_Microsoft_DeepSTIA,0.4227600000000001,0.4107266666666668,0.6945399999999998,0.3426533333333335,0.48459999999999986,1.6656733333333338,0.3426533333333335,0.4227600000000001,0.5208000000000002,0.59088,0.60718,0.5933100000000001,0.28802666666666693,0.7743733333333331,0.6126733333333337,0.45960666666666694,0.4255866666666666,0.30001,0.31461333333333336,0.3433933333333335,0.5283000000000001,0.24206000000000003,0.21861999999999995,0.45670000000000016,0.62174,0.0,0.3003133333333332,0.5034600000000002,0.7028399999999999,0.4066066666666666,0.5150199999999997
FH_RobertWalraven_ESG,0.4060700000000003,0.3038366666666666,0.7658600000000003,0.17421333333333344,0.48707999999999985,1.5209599999999983,0.17421333333333344,0.4060700000000003,0.6696840000000004,0.7734640000000007,0.7469559999999994,0.7506119999999995,0.041106666666666666,1.0185400000000004,0.49094000000000015,0.4642033333333334,0.2862466666666667,0.17260666666666669,0.19185666666666676,0.13942666666666662,0.4493080000000003,0.08833200000000001,0.01574499999999998,0.5151166666666669,0.70691,0.3003133333333332,0.0,0.2873766666666665,0.9308999999999992,0.32763000000000025,0.612913333333333
FH_TTU_squider,0.4747466666666667,0.4891599999999999,0.7649800000000003,0.3492700000000002,0.5277000000000001,1.3861366666666637,0.3492700000000002,0.4747466666666667,0.7095400000000002,0.7869280000000002,0.7413440000000002,0.7630520000000003,0.2952533333333334,1.0261699999999994,0.5140833333333339,0.46260333333333353,0.4673200000000003,0.3876066666666667,0.39751333333333333,0.38715333333333335,0.49669200000000024,0.3082000000000001,0.35730999999999985,0.5931433333333335,0.7723300000000001,0.5034600000000002,0.2873766666666665,0.0,0.9707533333333329,0.4321399999999999,0.598403333333333
FH_UMich_RidgeTfReg,0.7815466666666668,0.8621133333333332,,0.8683266666666666,,1.4019800000000013,0.8683266666666666,0.7815466666666668,0.6303400000000002,0.5682933333333335,0.6600466666666669,0.6418066666666667,0.9245533333333333,0.4007200000000001,0.8410199999999999,0.8668666666666667,0.8633133333333334,0.8978899999999997,0.8818933333333333,0.9186066666666665,0.8988000000000002,0.7582466666666665,0.9260500000000002,0.6779333333333338,0.6242200000000001,0.7028399999999999,0.9308999999999992,0.9707533333333329,0.0,0.7848866666666666,0.6924466666666669
FH_UVA_Ensemble,0.3521566666666666,0.4071400000000002,0.68322,0.2832666666666669,0.44815999999999995,1.444670000000001,0.2832666666666669,0.3521566666666666,0.6021959999999997,0.6680560000000002,0.6195000000000004,0.6365440000000002,0.3323400000000005,0.88686,0.5013500000000001,0.5218033333333333,0.3882666666666665,0.31323999999999996,0.35939666666666664,0.3278400000000001,0.5749680000000001,0.23998800000000006,0.3108849999999999,0.5015799999999999,0.6091099999999998,0.4066066666666666,0.32763000000000025,0.4321399999999999,0.7848866666666666,0.0,0.5944333333333331
USC_SI_kJalpha,0.35174666666666676,0.5397466666666663,0.5635400000000002,0.5407900000000002,0.5316200000000001,1.4727766666666648,0.5407900000000002,0.35174666666666676,0.42058000000000006,0.3930240000000001,0.45726799999999995,0.4459399999999999,0.6084633333333332,0.8074433333333334,0.5175199999999999,0.5133933333333335,0.5732299999999995,0.46463333333333356,0.5133033333333329,0.5703933333333333,0.6565240000000004,0.5239080000000002,0.56122,0.5485466666666667,0.6478500000000001,0.5150199999999997,0.612913333333333,0.598403333333333,0.6924466666666669,0.5944333333333331,0.0
