,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_Karlen_pypm,0.26608000000000015,0.1948799999999999,0.7435549999999997,0.12316666666666681,1.5567066666666636,0.12316666666666681,0.26608000000000015,0.2469359999999999,0.3261759999999999,0.29978400000000005,0.3261759999999999,0.06454000000000013,0.8827966666666667,0.5570000000000003,0.6192200000000001,0.35602333333333364,0.12792500000000012,0.7066000000000001,0.19684800000000002,0.1528666666666666,0.0,0.8354299999999999,0.5289033333333328,0.13077999999999998,0.12272999999999999,0.3433833333333334,0.4809760000000002,0.09011000000000007,0.5350533333333336,0.29105999999999993,0.6780099999999999,0.2616799999999998,0.3970400000000002
FH_LANL_GrowthRate,0.6193200000000002,0.6419099999999999,0.7217800000000003,0.7785000000000005,1.3512799999999996,0.7785000000000005,0.6193200000000002,0.79244,0.8122199999999996,0.787,0.8122199999999996,0.9127099999999999,0.7489799999999999,0.56686,,0.7415900000000002,,0.7633199999999998,0.7131200000000001,0.7195799999999999,0.8354299999999999,0.0,0.73735,0.8223499999999997,0.8389999999999997,0.70084,0.61301,0.8840700000000002,0.8276,1.0931999999999997,0.6914199999999999,0.6631700000000003,0.60293
FH_MIT_Cassandra,0.6216633333333339,0.5851266666666668,0.7911950000000003,0.5411400000000003,1.4942133333333345,0.5411400000000003,0.6216633333333339,0.6094720000000001,0.6259560000000002,0.6201560000000003,0.6259560000000002,0.5154766666666671,0.8526533333333334,0.6478766666666659,0.5914200000000001,0.5767233333333328,0.545855,0.66628,0.61916,0.5424733333333338,0.5289033333333328,0.73735,0.0,0.528266666666667,0.5198233333333336,0.6148033333333335,0.5949720000000004,0.53951,0.6491033333333334,0.5406799999999999,0.7291000000000004,0.63399,0.6014366666666671
FH_MIT_ISOLAT_Mixtures,0.3127266666666668,0.24262000000000009,0.7172949999999999,0.15480666666666662,1.4605899999999983,0.15480666666666662,0.3127266666666668,0.24829999999999997,0.31461600000000006,0.2980520000000002,0.31461600000000006,0.11549666666666675,0.7333000000000001,0.5431033333333332,0.6037,0.3997166666666666,0.13583499999999998,0.70693,0.21269599999999994,0.17823333333333324,0.13077999999999998,0.8223499999999997,0.528266666666667,0.0,0.12436666666666672,0.3394566666666669,0.47049599999999997,0.10961000000000015,0.5110699999999997,0.17373999999999998,0.6285950000000003,0.2692600000000001,0.4205200000000003
FH_MOBS_GLEAM_COVID,0.28324999999999995,0.2793900000000002,0.7790349999999998,0.15922666666666652,1.5693333333333335,0.15922666666666652,0.28324999999999995,0.2593119999999998,0.3284920000000003,0.3146000000000001,0.3284920000000003,0.07509000000000023,0.8675766666666671,0.6002966666666658,0.5599800000000001,0.3508700000000002,0.12037,0.7294899999999997,0.22865599999999997,0.14531666666666665,0.12272999999999999,0.8389999999999997,0.5198233333333336,0.12436666666666672,0.0,0.3242499999999998,0.46161200000000013,0.08903000000000012,0.5298033333333328,0.24576000000000003,0.7661849999999996,0.32971333333333364,0.4190333333333336
FH_MUNI_ARIMA,0.34667333333333333,0.4125199999999999,0.7131299999999999,0.30945000000000017,1.440283333333333,0.30945000000000017,0.34667333333333333,0.38820800000000005,0.43103200000000014,0.3911199999999998,0.43103200000000014,0.34921666666666673,0.8620900000000002,0.5443000000000006,0.6341600000000001,0.4619366666666666,0.3351249999999999,0.6763800000000001,0.368228,0.34779333333333373,0.3433833333333334,0.70084,0.6148033333333335,0.3394566666666669,0.3242499999999998,0.0,0.5114920000000001,0.3535200000000001,0.5904900000000001,0.5928599999999999,0.70524,0.3876033333333331,0.41779999999999984
FH_Microsoft_DeepSTIA,0.4951320000000001,0.4928399999999996,0.7824999999999999,0.5245839999999998,1.6742760000000014,0.5245839999999998,0.4951320000000001,0.5983099999999998,0.5977450000000002,0.6497200000000005,0.5977450000000002,0.5052680000000002,0.7303999999999997,0.5272600000000001,0.4612000000000001,0.47984799999999994,0.31569333333333344,0.4916899999999999,0.542244,0.43500799999999945,0.4809760000000002,0.61301,0.5949720000000004,0.47049599999999997,0.46161200000000013,0.5114920000000001,0.0,0.5193520000000003,0.6957159999999992,0.91002,0.6589699999999997,0.4569520000000001,0.5679559999999997
FH_RobertWalraven_ESG,0.2912433333333334,0.2547366666666666,0.7537650000000002,0.12266000000000005,1.5382599999999977,0.12266000000000005,0.2912433333333334,0.24466399999999996,0.321996,0.2921960000000003,0.321996,0.04893999999999997,0.872766666666666,0.6220100000000006,0.5902200000000001,0.4022633333333336,0.10692500000000002,0.7986999999999996,0.21055600000000002,0.1514866666666667,0.09011000000000007,0.8840700000000002,0.53951,0.10961000000000015,0.08903000000000012,0.3535200000000001,0.5193520000000003,0.0,0.5604666666666669,0.17922000000000005,0.7000549999999999,0.3087533333333334,0.43041666666666684
FH_TTU_squider,0.4916533333333334,0.5583500000000003,0.8293699999999998,0.49125,1.2869633333333326,0.49125,0.4916533333333334,0.5368440000000004,0.5628399999999999,0.5449119999999998,0.5628399999999999,0.5434533333333339,0.9352500000000004,0.5844733333333336,0.4970199999999999,0.4975133333333334,0.426225,0.7776299999999996,0.5628920000000004,0.5145033333333332,0.5350533333333336,0.8276,0.6491033333333334,0.5110699999999997,0.5298033333333328,0.5904900000000001,0.6957159999999992,0.5604666666666669,0.0,0.7240799999999998,0.9910799999999996,0.5740633333333334,0.5162000000000009
FH_UCLA_SuEIR,0.50528,0.7636799999999999,0.8112000000000001,0.35633999999999993,1.5507799999999998,0.35633999999999993,0.50528,0.08659999999999997,0.10608000000000001,0.09251999999999998,0.10608000000000001,0.11976,0.6641800000000001,0.9547600000000003,,0.54982,,0.8779600000000001,0.48398,0.23865999999999996,0.29105999999999993,1.0931999999999997,0.5406799999999999,0.17373999999999998,0.24576000000000003,0.5928599999999999,0.91002,0.17922000000000005,0.7240799999999998,0.0,0.6622,0.6905,0.60968
FH_UMich_RidgeTfReg,0.7646600000000006,0.7053449999999997,0.7422933333333332,0.6937249999999997,1.4425099999999988,0.6937249999999997,0.7646600000000006,0.7227950000000004,0.7224200000000002,0.72213,0.7224200000000002,0.7232949999999999,0.5448300000000001,0.7282599999999997,0.8987000000000003,0.7784399999999999,0.77404,0.8272800000000007,0.74716,0.7565599999999998,0.6780099999999999,0.6914199999999999,0.7291000000000004,0.6285950000000003,0.7661849999999996,0.70524,0.6589699999999997,0.7000549999999999,0.9910799999999996,0.6622,0.0,0.6617049999999999,0.8240850000000001
FH_UVA_Ensemble,0.2875000000000001,0.28336,0.7260049999999997,0.28862000000000015,1.5192333333333323,0.28862000000000015,0.2875000000000001,0.37945200000000007,0.41448000000000007,0.3897080000000003,0.41448000000000007,0.3066833333333334,0.804,0.4666700000000004,0.57096,0.4241600000000002,0.27430499999999985,0.5694499999999998,0.302228,0.30701333333333336,0.2616799999999998,0.6631700000000003,0.63399,0.2692600000000001,0.32971333333333364,0.3876033333333331,0.4569520000000001,0.3087533333333334,0.5740633333333334,0.6905,0.6617049999999999,0.0,0.4041266666666667
USC_SI_kJalpha,0.18865,0.40342000000000006,0.6961949999999998,0.3642333333333335,1.454993333333332,0.3642333333333335,0.18865,0.34284000000000014,0.3268120000000001,0.34472000000000014,0.3268120000000001,0.4120533333333332,0.8843733333333333,0.46284333333333355,0.42225999999999997,0.35893666666666685,0.38716999999999985,0.5278600000000003,0.35378,0.35152333333333363,0.3970400000000002,0.60293,0.6014366666666671,0.4205200000000003,0.4190333333333336,0.41779999999999984,0.5679559999999997,0.43041666666666684,0.5162000000000009,0.60968,0.8240850000000001,0.4041266666666667,0.0
