,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_LANL_GrowthRate,0.6824919999999997,0.9187700000000001,1.528830000000001,0.5352666666666658,0.7705599999999994,0.7779466666666667,0.4616233333333334,0.7555,0.7569400000000001,0.7017799999999996,0.6595833333333334,0.7438366666666665,0.5964559999999995,0.6757199999999997,0.8769100000000006,0.6447133333333327,0.6572239999999994,0.6809279999999994,0.4587700000000001,0.7094699999999997,0.0,0.7017399999999993,0.54013,0.35784666666666687,0.6114733333333334,0.5919933333333335,0.42787000000000014,0.7059666666666657,0.6880866666666663,0.5360599999999999,0.7182733333333333,0.2958200000000002,0.7058766666666665
FH_LNQ_ens1,0.43078800000000034,0.8930466666666667,1.447656666666667,0.45140999999999953,0.28560333333333354,0.24608333333333354,0.5032099999999994,0.1848033333333334,0.20150000000000007,0.5683800000000002,1.0306466666666674,0.21604333333333328,0.6193239999999993,1.0080633333333326,0.43204000000000015,0.5192199999999998,0.12007600000000006,0.5862320000000002,0.13014000000000003,0.29915333333333344,0.7017399999999993,0.0,0.6114800000000001,0.8717733333333325,0.8101900000000003,1.2388200000000003,0.16935999999999996,0.6079299999999997,0.7533000000000001,0.5509999999999999,0.7631000000000001,0.21686000000000008,0.23003333333333345
FH_MSRA_DeepST,0.7215649999999999,0.8436300000000003,1.5107550000000003,0.7321349999999999,0.7110949999999994,0.7054149999999992,0.5949099999999998,0.6865849999999998,0.7169649999999994,0.7961066666666665,0.6681400000000001,0.6713200000000001,0.579106666666667,0.6635300000000001,0.49835500000000016,0.6188750000000001,0.6543549999999992,0.623466666666667,0.5981533333333335,0.6942449999999996,0.54013,0.6114800000000001,0.0,0.5280350000000003,0.6424149999999997,0.6345500000000002,0.6256799999999999,0.6500800000000002,0.8935400000000001,0.49713999999999997,0.6500049999999997,0.66449,0.6151200000000003
FH_RobertWalraven_ESG,0.8310359999999991,0.8269033333333334,1.4804633333333335,0.7016400000000002,0.9556699999999997,0.9781133333333328,0.5322600000000004,0.9375266666666662,0.930759999999999,0.8906880000000004,0.5271633333333332,0.9655533333333327,0.6670399999999999,0.5710000000000001,0.8951633333333336,0.7550433333333332,0.9116999999999988,0.7755599999999996,0.8328700000000004,0.9110833333333327,0.35784666666666687,0.8717733333333325,0.5280350000000003,0.0,0.6068133333333336,0.41196666666666665,0.7853299999999993,0.72763,0.63112,0.5296199999999999,0.6103700000000001,0.7805600000000001,0.9229399999999996
FH_TTU_squider,0.809868,0.850086666666667,1.2824499999999988,0.7234866666666668,0.8674733333333334,0.8994133333333332,0.6548733333333331,0.8779166666666653,0.8780533333333324,0.7228719999999998,0.5629933333333339,0.9157699999999996,0.5967880000000002,0.7430133333333333,0.9279066666666665,0.8158333333333331,0.8665839999999997,0.8088759999999998,0.7784800000000004,0.8734733333333327,0.6114733333333334,0.8101900000000003,0.6424149999999997,0.6068133333333336,0.0,0.694296666666667,0.7400649999999999,0.7968566666666662,0.6862933333333333,0.4979200000000001,0.6895199999999999,0.6883199999999995,0.8479233333333331
FH_UCLA_SuEIR,1.0015479999999999,0.8229766666666662,1.5230899999999996,1.0122966666666662,1.1605066666666666,1.204759999999999,0.8026933333333334,1.2407900000000003,1.2240233333333332,0.9644679999999999,0.45638666666666694,1.2573966666666667,0.8153039999999991,0.43206,1.0386233333333326,0.9572900000000004,1.2891080000000013,0.9519520000000004,1.2696399999999992,1.2129299999999998,0.5919933333333335,1.2388200000000003,0.6345500000000002,0.41196666666666665,0.694296666666667,0.0,1.245605,0.8798333333333331,0.6028666666666667,0.6637,0.5957866666666666,1.1039400000000006,1.1961000000000004
FH_UCSB_ACTS,0.435035,0.9081799999999999,1.4557899999999984,0.2550299999999999,0.35252500000000003,0.28310000000000013,0.54527,0.22242999999999985,0.25316999999999984,0.42825333333333315,0.9963499999999996,0.1501300000000001,0.4967299999999999,0.9879649999999994,0.4914600000000002,0.40669500000000025,0.14034000000000013,0.5246333333333336,0.10235000000000001,0.11941500000000013,0.42787000000000014,0.16935999999999996,0.6256799999999999,0.7853299999999993,0.7400649999999999,1.245605,0.0,0.5716600000000001,0.9186999999999999,0.5635400000000002,0.8749849999999992,0.2755699999999999,0.22894000000000017
FH_UMich_RidgeTfReg,0.5878880000000003,0.8159399999999999,1.396336666666665,0.6838733333333327,0.6919000000000002,0.6511633333333336,0.6783933333333332,0.6058566666666662,0.6231633333333334,0.7795440000000006,0.7744266666666666,0.6098,0.6515799999999992,0.78805,0.6997633333333333,0.6268699999999996,0.545888,0.8241839999999998,0.569855,0.6463200000000006,0.7059666666666657,0.6079299999999997,0.6500800000000002,0.72763,0.7968566666666662,0.8798333333333331,0.5716600000000001,0.0,0.8576666666666667,0.477,0.8204799999999999,0.6451600000000001,0.67575
FH_USACE_ERDC_SEIR,0.8210999999999997,0.8814400000000007,1.5013,0.7457399999999997,0.6903600000000001,0.7177600000000003,0.47315999999999975,0.7536799999999999,0.6879133333333333,0.7815399999999998,0.6925866666666668,0.8249866666666663,0.6908266666666665,0.7688399999999995,0.7904800000000001,0.8356266666666663,0.9062899999999998,0.7330266666666668,0.9468299999999998,0.8868999999999998,0.6880866666666663,0.7533000000000001,0.8935400000000001,0.63112,0.6862933333333333,0.6028666666666667,0.9186999999999999,0.8576666666666667,0.0,0.55038,0.30535333333333337,,0.7727666666666665
FH_UVA_Ensemble,0.5163399999999999,0.7063999999999996,1.6786799999999997,0.49454000000000015,0.50952,0.50728,0.4910000000000001,0.48640000000000005,0.4910000000000001,,0.5540000000000002,0.4844400000000001,0.49866000000000027,0.7276800000000001,0.5920200000000001,0.5114000000000002,0.5599200000000003,0.5026999999999999,0.56514,0.55926,0.5360599999999999,0.5509999999999999,0.49713999999999997,0.5296199999999999,0.4979200000000001,0.6637,0.5635400000000002,0.477,0.55038,0.0,0.6286799999999999,,0.46714
USC_SI_kJalpha,0.7961559999999998,0.859126666666667,1.4521799999999994,0.8185233333333337,0.7620933333333333,0.8056500000000003,0.5836133333333332,0.7923699999999999,0.7689833333333331,0.7873000000000004,0.657926666666667,0.8543600000000006,0.7330560000000003,0.7915233333333332,0.7705933333333327,0.8697233333333333,0.8786319999999995,0.7136719999999998,0.916135,0.8793699999999995,0.7182733333333333,0.7631000000000001,0.6500049999999997,0.6103700000000001,0.6895199999999999,0.5957866666666666,0.8749849999999992,0.8204799999999999,0.30535333333333337,0.6286799999999999,0.0,0.7877099999999999,0.8035166666666669
USC_SI_kJalpha_RF,0.5556100000000002,0.9115599999999998,1.5908599999999995,0.37533999999999973,0.30095999999999984,0.26253,0.4025599999999999,0.27141000000000026,0.27141000000000026,0.48019000000000006,0.9661300000000003,0.20754999999999993,0.48963000000000007,0.9373299999999999,0.7523900000000004,0.5290699999999997,0.21323999999999996,0.6124599999999999,0.2508600000000001,0.26901000000000014,0.2958200000000002,0.21686000000000008,0.66449,0.7805600000000001,0.6883199999999995,1.1039400000000006,0.2755699999999999,0.6451600000000001,,,0.7877099999999999,0.0,0.23279
ensemble_SIkJa_RF,0.4222440000000002,0.8858399999999996,1.4839933333333317,0.5261799999999996,0.2569,0.22905000000000006,0.5373066666666668,0.2313600000000002,0.24232666666666683,0.5862840000000001,1.0391666666666666,0.2501733333333335,0.5764280000000003,1.0672366666666666,0.4723800000000003,0.5845966666666665,0.164068,0.5611000000000003,0.1870999999999999,0.3276600000000005,0.7058766666666665,0.23003333333333345,0.6151200000000003,0.9229399999999996,0.8479233333333331,1.1961000000000004,0.22894000000000017,0.67575,0.7727666666666665,0.46714,0.8035166666666669,0.23279,0.0
