,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_JHU_UNC_GAS_StatMechPool,0.435146666666667,0.4774150000000003,0.961985,1.3665466666666668,0.44261999999999996,0.4715200000000002,0.51788,0.5321250000000004,0.5080200000000005,0.5422699999999997,0.5422699999999997,0.5753950000000002,0.4698550000000003,0.7144500000000003,0.706845,0.5405,0.62216,0.45204000000000044,0.49237000000000014,0.5359750000000001,0.0,0.5858699999999998,0.45729000000000014,0.7618149999999997,0.4715950000000001,0.940386666666667,0.538045,0.6850133333333338,0.5805800000000001,0.8157666666666669,0.47433499999999995,0.5977799999999999,0.6886933333333335,0.7909449999999997,0.492725,0.46108000000000027
FH_KITmetricslab_select_ensemble,0.55535,0.5231600000000001,0.8828099999999998,1.6584600000000003,0.45977,0.55535,0.5378999999999998,0.4320299999999998,0.5471299999999998,0.5748399999999999,0.5748399999999999,0.5961500000000001,0.44551999999999997,0.7386000000000001,0.7174299999999998,0.3878199999999999,,0.4818999999999997,0.59426,0.5911900000000001,0.5858699999999998,0.0,0.5236000000000003,0.47319999999999995,0.48020000000000024,0.6918099999999999,0.6380599999999998,0.7089399999999998,0.5590800000000001,0.52472,0.4721099999999999,0.8257500000000002,0.6188199999999998,0.7779199999999998,0.39195,0.48571999999999965
FH_Karlen_pypm,0.11840400000000012,0.13674333333333316,1.0169680000000003,1.4569649999999996,0.07872999999999998,0.20753,0.30425999999999986,0.4217950000000004,0.20655,0.30721,0.30721,0.32725666666666714,0.1913560000000001,0.6117900000000003,0.659386666666667,0.6729199999999999,0.5009999999999999,0.16033199999999995,0.19851999999999997,0.3346966666666667,0.45729000000000014,0.5236000000000003,0.0,0.6063300000000001,0.15342399999999995,0.94633,0.3387966666666672,0.3642320000000002,0.35084666666666675,0.7038400000000005,0.11181666666666674,0.40206666666666707,0.5857133333333334,0.8552880000000003,0.21378000000000003,0.10403000000000023
FH_LANL_GrowthRate,0.5142040000000001,0.6518633333333335,0.8430239999999999,1.2120300000000004,0.5894999999999999,0.5392299999999998,0.59834,0.5821450000000001,0.6943500000000005,0.57516,0.57516,0.7281966666666665,0.740468,0.8855899999999999,0.5661566666666666,0.8122799999999999,0.7456199999999998,0.66728,0.6248719999999999,0.6656466666666664,0.7618149999999997,0.47319999999999995,0.6063300000000001,0.0,0.5946719999999999,0.8273600000000002,0.587466666666667,0.7590320000000004,0.6586866666666665,0.6734839999999999,0.6223033333333331,0.7417233333333332,0.7257866666666668,0.8858919999999999,0.6710280000000002,0.6548266666666667
FH_LNQ_ens1,0.09557000000000013,0.17523600000000006,0.9333799999999998,1.345565,0.08510999999999996,0.16279000000000005,0.3017700000000001,0.4264750000000001,0.19311499999999995,0.29599000000000003,0.29599000000000003,0.35503199999999985,0.170284,0.7277200000000001,0.6591600000000006,0.7047400000000001,0.22451999999999997,0.12955200000000006,0.14817200000000005,0.37399199999999994,0.4715950000000001,0.48020000000000024,0.15342399999999995,0.5946719999999999,0.0,0.8977399999999998,0.32717600000000013,0.5087749999999999,0.34054,0.8854250000000001,0.10065600000000002,0.314112,0.6114933333333334,0.8700399999999997,0.25622400000000023,0.1311600000000001
FH_MIT_Cassandra,0.9198949999999998,0.9480899999999997,0.7529800000000002,1.2178266666666668,0.8358700000000002,0.8760899999999999,0.9036133333333332,0.8652066666666671,0.9340866666666665,0.916933333333333,0.916933333333333,0.9383350000000006,0.9435499999999999,0.8325800000000003,0.9644200000000004,0.7449600000000001,,0.9194850000000002,0.9449549999999998,0.9501000000000002,0.940386666666667,0.6918099999999999,0.94633,0.8273600000000002,0.8977399999999998,0.0,0.7966800000000004,0.96762,0.9757733333333333,0.8091200000000002,0.9138050000000004,1.0178349999999998,0.8268933333333334,0.7292300000000003,0.9348499999999995,0.9361700000000003
FH_MIT_ISOLAT_Mixtures,0.2899640000000001,0.30934000000000034,0.819528,1.1073300000000008,0.37809,0.4254100000000001,0.43240499999999993,0.5082800000000003,0.37963500000000033,0.4206050000000001,0.4206050000000001,0.43218333333333353,0.33305599999999996,0.80223,0.5711600000000001,0.7245599999999999,0.26566,0.28573199999999993,0.3389440000000001,0.4065900000000001,0.538045,0.6380599999999998,0.3387966666666672,0.587466666666667,0.32717600000000013,0.7966800000000004,0.0,0.4650320000000003,0.40588666666666673,0.7126079999999999,0.27137666666666704,0.3575900000000001,0.6952733333333333,0.8705840000000002,0.4108320000000002,0.2915833333333335
FH_MOBS_GLEAM_COVID,0.33717500000000006,0.4046240000000003,0.9981900000000001,1.4755799999999992,0.6623200000000001,0.87204,0.6914733333333334,0.6634999999999996,0.6348600000000002,0.7457066666666665,0.7457066666666665,0.4678680000000003,0.4946900000000005,0.7591066666666667,0.5872639999999998,,1.0238,0.4504850000000005,0.5345199999999999,0.37726800000000044,0.6850133333333338,0.7089399999999998,0.3642320000000002,0.7590320000000004,0.5087749999999999,0.96762,0.4650320000000003,0.0,0.36596000000000006,0.7422349999999995,0.40861200000000014,0.6607359999999993,0.73005,0.8101449999999997,0.4038450000000003,0.4006240000000004
FH_MUNI_ARIMA,0.3177066666666664,0.35895333333333324,0.93254,1.2145200000000003,0.36744000000000016,0.3446,0.41523000000000027,0.4834200000000001,0.3678000000000001,0.37958000000000003,0.37958000000000003,0.46789333333333333,0.38914000000000004,0.8592400000000001,0.4103666666666667,0.8509399999999998,,0.33580666666666675,0.34535333333333357,0.3746000000000001,0.5805800000000001,0.5590800000000001,0.35084666666666675,0.6586866666666665,0.34054,0.9757733333333333,0.40588666666666673,0.36596000000000006,0.0,0.8686933333333332,0.3278666666666668,0.45605999999999997,0.79176,0.9564200000000004,0.39563333333333345,0.34417333333333316
FH_Microsoft_DeepSTIA,0.6803900000000002,0.7517200000000004,1.000135,1.5188933333333323,0.3718799999999999,0.36666000000000004,0.8910666666666668,0.8052333333333334,0.9435066666666669,0.9429199999999998,0.9429199999999998,0.7914360000000001,0.8427649999999999,0.6154600000000001,0.7947679999999997,0.6838799999999999,1.09136,0.8567000000000004,0.9273850000000005,0.6682639999999997,0.8157666666666669,0.52472,0.7038400000000005,0.6734839999999999,0.8854250000000001,0.8091200000000002,0.7126079999999999,0.7422349999999995,0.8686933333333332,0.0,0.7696399999999999,0.980964,0.6628400000000001,0.6839199999999999,0.7285749999999999,0.7533240000000004
FH_RobertWalraven_ESG,0.1198,0.10366000000000013,1.0046680000000003,1.4868899999999994,0.035039999999999974,0.22241,0.29868499999999987,0.4221650000000002,0.15031000000000005,0.2986250000000001,0.2986250000000001,0.2633566666666667,0.085508,0.6808550000000001,0.6990433333333333,0.6431600000000003,0.06525999999999998,0.06289599999999995,0.13145200000000015,0.33180666666666675,0.47433499999999995,0.4721099999999999,0.11181666666666674,0.6223033333333331,0.10065600000000002,0.9138050000000004,0.27137666666666704,0.40861200000000014,0.3278666666666668,0.7696399999999999,0.0,0.32749000000000034,0.5857999999999999,0.8850399999999994,0.18653999999999993,0.04893999999999995
FH_TTU_squider,0.362012,0.38554666666666665,0.9077799999999999,0.9910699999999995,0.34090000000000004,0.35873,0.48251000000000005,0.613635,0.360815,0.45143500000000036,0.45143500000000036,0.5233800000000001,0.368824,0.889955,0.6748466666666663,0.9703000000000002,0.17834,0.3585320000000002,0.2930440000000001,0.6100599999999995,0.5977799999999999,0.8257500000000002,0.40206666666666707,0.7417233333333332,0.314112,1.0178349999999998,0.3575900000000001,0.6607359999999993,0.45605999999999997,0.980964,0.32749000000000034,0.0,0.7969800000000002,1.0299200000000008,0.4757840000000001,0.363266666666667
FH_UCLA_SuEIR,0.6651333333333334,0.618406666666667,0.9549199999999998,1.4976899999999995,0.52172,0.6268699999999998,0.6471333333333333,0.6347133333333334,0.6042933333333336,0.6446600000000001,0.6446600000000001,0.7075600000000002,0.6102866666666668,0.5327800000000001,0.7766066666666663,0.6174200000000001,,0.5886466666666668,0.6530866666666665,0.6167399999999998,0.6886933333333335,0.6188199999999998,0.5857133333333334,0.7257866666666668,0.6114933333333334,0.8268933333333334,0.6952733333333333,0.73005,0.79176,0.6628400000000001,0.5857999999999999,0.7969800000000002,0.0,0.7489466666666669,0.5889733333333336,0.5660466666666667
FH_UMich_RidgeTfReg,0.8722799999999998,0.8609320000000001,0.9307520000000001,1.2873600000000007,0.7837200000000004,0.8466499999999997,0.8739250000000004,0.8321349999999996,0.889525,0.9257550000000007,0.9257550000000007,0.8075160000000002,0.8649119999999999,0.7044100000000003,0.914624,0.7773799999999997,1.0342,0.849220000000001,0.9352719999999997,0.8780359999999999,0.7909449999999997,0.7779199999999998,0.8552880000000003,0.8858919999999999,0.8700399999999997,0.7292300000000003,0.8705840000000002,0.8101449999999997,0.9564200000000004,0.6839199999999999,0.8850399999999994,1.0299200000000008,0.7489466666666669,0.0,0.796848,0.88372
FH_UVA_Ensemble,0.20869999999999997,0.21744400000000005,1.0267599999999997,1.5530100000000002,0.12403999999999997,0.31639,0.37258,0.4240600000000003,0.31412,0.4036000000000002,0.4036000000000002,0.37847600000000037,0.2234400000000002,0.643815,0.6445199999999999,0.5586800000000003,0.54604,0.20140800000000006,0.29450400000000015,0.34164000000000033,0.492725,0.39195,0.21378000000000003,0.6710280000000002,0.25622400000000023,0.9348499999999995,0.4108320000000002,0.4038450000000003,0.39563333333333345,0.7285749999999999,0.18653999999999993,0.4757840000000001,0.5889733333333336,0.796848,0.0,0.18958800000000006
USC_SI_kJalpha,0.12882000000000002,0.13551,1.0469640000000004,1.5257699999999996,0.07948999999999995,0.19890999999999998,0.2813299999999999,0.3958650000000001,0.1586350000000002,0.2903350000000001,0.2903350000000001,0.28134666666666674,0.09828399999999995,0.6823950000000006,0.7019333333333329,0.6787600000000001,0.05152,0.07386400000000001,0.17522,0.3170500000000004,0.46108000000000027,0.48571999999999965,0.10403000000000023,0.6548266666666667,0.1311600000000001,0.9361700000000003,0.2915833333333335,0.4006240000000004,0.34417333333333316,0.7533240000000004,0.04893999999999995,0.363266666666667,0.5660466666666667,0.88372,0.18958800000000006,0.0
