,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_Karlen_pypm,0.3006066666666666,0.24211999999999997,0.8354666666666666,0.27107333333333333,1.5388433333333316,0.31598666666666686,0.3006066666666666,0.38466000000000017,0.4549900000000007,0.3620999999999999,0.4549900000000007,0.19838,0.5212433333333331,0.7155199999999997,0.5223566666666662,0.3728966666666671,0.2834840000000001,0.4680633333333334,0.37621333333333334,0.3774233333333334,0.0,0.7345633333333337,0.6396366666666663,0.5015650000000005,0.3776299999999999,0.5317099999999997,0.6881433333333333,0.7325733333333339,0.8888066666666659,0.4695000000000002,0.6230166666666664,0.41100999999999993,0.33099000000000006
FH_LANL_GrowthRate,0.6604966666666664,0.6466899999999999,0.7154633333333336,0.81408,1.3691699999999993,0.7186533333333333,0.6604966666666664,0.7805633333333336,0.7583133333333337,0.7806599999999997,0.7583133333333337,0.5808199999999999,0.9273999999999999,0.6602800000000002,0.5644499999999999,0.7107500000000001,0.6468840000000001,0.6475166666666664,0.7683366666666663,0.7071299999999997,0.7345633333333337,0.0,0.7196566666666665,0.8031350000000004,0.7684599999999996,0.7476466666666659,0.6515000000000002,0.9253499999999999,0.9637033333333331,1.1081500000000002,0.5860366666666668,0.727483333333333,0.6660300000000002
FH_MIT_Cassandra,0.6748099999999998,0.6921566666666662,0.8518433333333338,0.576566666666667,1.5174033333333325,0.6663933333333335,0.6748099999999998,0.687993333333333,0.6593166666666668,0.6332480000000001,0.6593166666666668,0.86532,0.6762966666666668,0.6313240000000001,0.6750400000000002,0.6605899999999997,0.6669200000000004,0.6348166666666667,0.7105633333333337,0.6798966666666665,0.6396366666666663,0.7196566666666665,0.0,0.5469700000000002,0.6085833333333334,0.7107433333333327,0.5605966666666666,0.6306133333333334,0.8290033333333334,0.5566599999999999,0.7091299999999998,0.7011200000000001,0.6777766666666665
FH_MIT_ISOLAT_Mixtures,0.5692750000000002,0.650835,0.7898950000000002,0.27524,1.4541699999999984,0.4330250000000001,0.5692750000000002,0.36697500000000033,0.34101500000000007,0.29447999999999974,0.34101500000000007,0.9161800000000002,0.33453999999999984,0.63936,0.8330899999999991,0.59187,0.6633866666666666,0.7533299999999997,0.44238,0.5724050000000002,0.5015650000000005,0.8031350000000004,0.5469700000000002,0.0,0.4825700000000001,0.6526650000000004,0.6253549999999997,0.2987699999999999,0.7393800000000001,0.17373999999999998,0.50619,0.49249500000000024,0.61287
FH_MOBS_GLEAM_COVID,0.31308000000000014,0.45380666666666675,0.8540799999999997,0.41553333333333325,1.5916999999999986,0.41496666666666693,0.31308000000000014,0.4085300000000004,0.4529466666666671,0.39513600000000026,0.4529466666666671,0.35402000000000006,0.5525700000000003,0.6542639999999998,0.5198699999999997,0.3519733333333338,0.369752,0.4836766666666668,0.5087766666666668,0.40597333333333346,0.3776299999999999,0.7684599999999996,0.6085833333333334,0.4825700000000001,0.0,0.5448233333333331,0.6024699999999997,0.7405566666666664,0.8770299999999998,0.43823000000000023,0.7463166666666666,0.458966666666667,0.3797000000000001
FH_MUNI_ARIMA,0.5336000000000001,0.5761633333333336,0.831333333333334,0.44349333333333335,1.4951599999999978,0.4757899999999999,0.5336000000000001,0.5007199999999999,0.5596333333333334,0.5316479999999998,0.5596333333333334,0.24764000000000003,0.5257633333333331,0.9829119999999996,0.6868633333333327,0.5690033333333333,0.5145679999999999,0.647353333333333,0.52534,0.5550666666666665,0.5317099999999997,0.7476466666666659,0.7107433333333327,0.6526650000000004,0.5448233333333331,0.0,0.6665133333333334,0.6548066666666665,0.8849133333333333,0.31701,0.6939266666666666,0.5187433333333336,0.5962899999999999
FH_Microsoft_DeepSTIA,0.5709566666666664,0.6732199999999997,0.8622533333333336,0.6864599999999996,1.6615166666666672,0.5954466666666667,0.5709566666666664,0.6494466666666671,0.6194866666666666,0.6495679999999995,0.6194866666666666,0.75804,0.6191766666666672,0.559792,0.6501600000000002,0.53461,0.683916,0.6281266666666666,0.5858433333333334,0.7314433333333339,0.6881433333333333,0.6515000000000002,0.5605966666666666,0.6253549999999997,0.6024699999999997,0.6665133333333334,0.0,0.6270100000000007,0.8599466666666667,0.7297499999999999,0.6797866666666668,0.5987133333333331,0.5806333333333334
FH_RobertWalraven_ESG,0.8372100000000001,0.7983799999999994,0.75714,0.3061599999999999,1.5261366666666658,0.5301866666666667,0.8372100000000001,0.4914033333333338,0.426996666666667,0.3741960000000003,0.426996666666667,1.32826,0.2688133333333339,0.8695839999999998,1.2118266666666677,0.7674233333333331,1.018184,1.1131899999999995,0.4760166666666671,0.9485199999999991,0.7325733333333339,0.9253499999999999,0.6306133333333334,0.2987699999999999,0.7405566666666664,0.6548066666666665,0.6270100000000007,0.0,0.7450666666666663,0.13185,0.6615233333333332,0.6287500000000004,0.8599633333333336
FH_TTU_squider,0.9128400000000001,0.8758166666666664,0.8399966666666665,0.7003466666666668,1.1009499999999992,0.8224466666666661,0.9128400000000001,0.8676866666666668,0.8496999999999998,0.756376,0.8496999999999998,1.0498,0.8305666666666659,0.9408759999999994,1.0734233333333327,0.8738399999999997,1.0029560000000002,1.0081933333333324,0.8581833333333333,1.0164300000000002,0.8888066666666659,0.9637033333333331,0.8290033333333334,0.7393800000000001,0.8770299999999998,0.8849133333333333,0.8599466666666667,0.7450666666666663,0.0,0.732,0.9717766666666656,0.8973666666666668,0.87704
FH_UCLA_SuEIR,0.6632400000000002,0.7799199999999997,0.8708999999999998,0.42873000000000006,1.5501800000000003,0.42873000000000006,0.6632400000000002,0.16319,0.19245999999999996,0.2084,0.19245999999999996,,0.08531000000000001,0.9007500000000002,1.0929299999999997,0.6200700000000002,0.9104199999999996,1.0085000000000002,0.4429400000000001,0.49804999999999994,0.4695000000000002,1.1081500000000002,0.5566599999999999,0.17373999999999998,0.43823000000000023,0.31701,0.7297499999999999,0.13185,0.732,0.0,0.7557199999999997,0.7289500000000002,0.7679800000000006
FH_UMich_RidgeTfReg,0.6966000000000001,0.6758933333333329,0.8283366666666669,0.5994866666666667,1.4824066666666658,0.6066800000000001,0.6966000000000001,0.6622200000000003,0.6621300000000004,0.6472039999999996,0.6621300000000004,0.6020200000000001,0.6779566666666662,0.6397800000000001,0.6671866666666667,0.7315833333333334,0.6211839999999997,0.6927033333333338,0.6932233333333337,0.6556900000000003,0.6230166666666664,0.5860366666666668,0.7091299999999998,0.50619,0.7463166666666666,0.6939266666666666,0.6797866666666668,0.6615233333333332,0.9717766666666656,0.7557199999999997,0.0,0.6434866666666664,0.7142266666666662
FH_UVA_Ensemble,0.4015200000000005,0.4255166666666668,0.8853999999999999,0.40086666666666665,1.582856666666667,0.3973100000000001,0.4015200000000005,0.4655900000000003,0.5053866666666668,0.4506880000000005,0.5053866666666668,0.3952200000000001,0.47880666666666677,0.7423719999999999,0.6479499999999992,0.4444166666666669,0.42892400000000014,0.5854799999999997,0.4105300000000003,0.5114466666666664,0.41100999999999993,0.727483333333333,0.7011200000000001,0.49249500000000024,0.458966666666667,0.5187433333333336,0.5987133333333331,0.6287500000000004,0.8973666666666668,0.7289500000000002,0.6434866666666664,0.0,0.4522700000000001
USC_SI_kJalpha,0.18584333333333342,0.34339000000000014,0.8501633333333342,0.49591999999999975,1.5212433333333304,0.4111233333333336,0.18584333333333342,0.5271833333333331,0.5700933333333338,0.5338879999999998,0.5700933333333338,0.2913199999999999,0.6464066666666661,0.6651880000000004,0.44656666666666667,0.3279666666666669,0.29713600000000023,0.3806733333333336,0.4510166666666669,0.4050466666666665,0.33099000000000006,0.6660300000000002,0.6777766666666665,0.61287,0.3797000000000001,0.5962899999999999,0.5806333333333334,0.8599633333333336,0.87704,0.7679800000000006,0.7142266666666662,0.4522700000000001,0.0
