,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_Karlen_pypm,0.5161199999999999,1.0053366666666654,1.502323333333332,0.8123933333333333,0.6618866666666661,0.6412599999999995,0.7101233333333329,0.6153066666666667,0.6968899999999998,0.7769833333333332,1.0290999999999997,0.8296933333333331,0.5645266666666666,0.6926066666666668,0.8650933333333334,1.23712,0.6990333333333331,0.6881033333333334,0.6087233333333328,0.9297040000000001,0.0,0.5394466666666666,0.5437499999999998,0.9155399999999999,0.5605766666666667,0.5473733333333332,1.0181199999999995,1.023176,1.1370000000000002,0.8320666666666664,0.5346966666666662,0.8376433333333334,0.8297799999999996
FH_LANL_GrowthRate,0.7461799999999998,0.9351800000000001,1.3475100000000004,0.7945766666666672,0.7228666666666672,0.7121000000000005,0.7461799999999996,0.6530300000000003,0.7048366666666666,0.9442000000000002,1.126613333333333,0.6697133333333336,0.8290966666666661,0.7307000000000006,0.8669033333333335,1.2236766666666665,0.8364833333333328,0.6211233333333338,0.611746666666667,0.8630639999999997,0.5394466666666666,0.0,0.5196533333333335,0.9304599999999994,0.6601733333333325,0.7201099999999995,1.0896733333333337,0.9312039999999996,1.1659166666666672,0.9403866666666663,0.5930633333333329,0.8825999999999999,0.899846666666667
FH_LNQ_ens1,0.6205366666666666,0.9080266666666668,1.2814799999999997,0.6426066666666672,0.6780500000000002,0.6654066666666666,0.6973366666666666,0.6331233333333338,0.652286666666667,0.84634,1.0332000000000006,0.6854933333333334,0.8032166666666676,0.5574200000000001,0.9399466666666664,1.1029499999999994,0.6987300000000001,0.6682533333333334,0.6245833333333335,0.7710000000000004,0.5437499999999998,0.5196533333333335,0.0,0.8593466666666668,0.6193499999999998,0.5938000000000001,0.9877033333333329,0.8882400000000003,1.0659633333333332,0.9855400000000001,0.6678700000000003,0.8335299999999991,0.8038966666666673
FH_MIT_ISOLAT_Mixtures,0.6998199999999998,0.8751533333333337,1.2569666666666657,0.5200633333333331,0.5995133333333335,0.6238666666666669,0.5743766666666662,0.6903166666666665,0.621693333333333,0.5208866666666666,0.2836433333333334,0.7800533333333334,0.68731,0.6464366666666667,0.5877166666666666,0.5165399999999998,0.4793399999999999,1.0330199999999996,0.8324599999999999,0.5159040000000003,0.9155399999999999,0.9304599999999994,0.8593466666666668,0.0,0.7349700000000001,0.7051000000000004,0.27893333333333337,1.0083960000000003,0.2694933333333333,0.6660800000000002,1.0142933333333333,0.4248066666666668,0.49360000000000015
FH_MOBS_GLEAM_COVID,0.48450333333333373,0.9071199999999991,1.468666666666665,0.7011433333333328,0.6355666666666671,0.6206533333333334,0.7130366666666667,0.6343900000000002,0.6774733333333333,0.7582133333333332,0.8947033333333335,0.7193533333333338,0.7636933333333324,0.5467533333333329,0.7461566666666664,1.085709999999999,0.6355666666666668,0.743643333333333,0.6275700000000001,0.6102560000000001,0.5605766666666667,0.6601733333333325,0.6193499999999998,0.7349700000000001,0.0,0.6361133333333333,0.8896200000000006,1.0042760000000002,0.9592100000000007,0.9368133333333335,0.7115466666666663,0.6954033333333329,0.7672200000000001
FH_Microsoft_DeepSTIA,0.482073333333333,0.9685500000000001,1.6132366666666675,0.7056466666666662,0.7226833333333331,0.6508333333333329,0.7585666666666665,0.7737299999999999,0.7510866666666661,0.7270166666666666,0.7282933333333336,0.7577533333333335,0.48390666666666665,0.6802366666666665,0.663696666666667,1.1045866666666666,0.6613799999999997,0.8090433333333334,0.5078233333333334,0.7556599999999993,0.5473733333333332,0.7201099999999995,0.5938000000000001,0.7051000000000004,0.6361133333333333,0.0,0.7374333333333332,1.2307280000000005,0.8510666666666665,0.6954933333333334,0.6189466666666666,0.573276666666667,0.7703233333333332
FH_RobertWalraven_ESG,0.8412266666666668,0.9808999999999998,1.5075400000000003,0.52551,0.6048899999999999,0.6238533333333328,0.5310599999999995,0.721636666666667,0.6043766666666667,0.4529066666666669,0.08070000000000001,0.8437266666666664,0.7077866666666666,0.8093166666666664,0.593173333333333,0.4528733333333333,0.4964766666666669,1.2218366666666667,0.980076666666666,0.6759279999999995,1.0181199999999995,1.0896733333333337,0.9877033333333329,0.27893333333333337,0.8896200000000006,0.7374333333333332,0.0,1.1955319999999998,0.12100333333333331,0.6586466666666665,1.05793,0.38321,0.3591400000000001
FH_SigSci_TS,1.0750319999999998,0.9310639999999998,0.598164,0.8595999999999999,0.9282959999999998,0.9525839999999997,0.9293879999999993,0.9084919999999996,0.9097199999999991,1.0609600000000003,1.2801639999999994,1.1683466666666666,1.205568,0.90612,1.2807399999999998,0.89666,1.0534240000000001,0.9138280000000001,0.9500920000000007,0.9429750000000006,1.023176,0.9312039999999996,0.8882400000000003,1.0083960000000003,1.0042760000000002,1.2307280000000005,1.1955319999999998,0.0,1.20576,1.313333333333333,1.0917919999999999,1.178868,1.038136
FH_TTU_squider,0.899706666666666,0.9212933333333336,1.38379,0.5786966666666667,0.6925066666666665,0.7081933333333331,0.6379,0.8101533333333334,0.7100566666666668,0.5055233333333337,0.10464999999999999,0.8831266666666664,0.7960399999999996,0.8504066666666662,0.5905066666666668,0.39232666666666705,0.5866199999999998,1.2518466666666666,1.0346033333333333,0.7132,1.1370000000000002,1.1659166666666672,1.0659633333333332,0.2694933333333333,0.9592100000000007,0.8510666666666665,0.12100333333333331,1.20576,0.0,0.6711400000000002,1.1107999999999991,0.4681766666666664,0.42951333333333375
FH_UCLA_SuEIR,0.6874666666666669,0.9766266666666672,1.5706200000000003,0.89052,0.805473333333333,0.7995666666666666,0.8653866666666669,0.8991199999999999,0.8748533333333336,0.6550200000000002,0.6226866666666668,0.7297333333333333,0.596726666666667,0.9892399999999998,0.6303799999999998,1.1080999999999994,0.8375266666666664,0.9095066666666668,0.9329466666666665,0.9242300000000003,0.8320666666666664,0.9403866666666663,0.9855400000000001,0.6660800000000002,0.9368133333333335,0.6954933333333334,0.6586466666666665,1.313333333333333,0.6711400000000002,0.0,0.7874533333333334,0.6873199999999997,0.8387266666666667
FH_UMich_RidgeTfReg,0.7390566666666665,0.9028166666666666,1.372146666666665,0.8468366666666665,0.8217200000000002,0.7621766666666671,0.8551533333333335,0.7873133333333329,0.8260166666666662,0.8644333333333335,1.0375200000000004,0.8332466666666669,0.7435699999999995,0.8853566666666668,0.8124266666666662,1.1830633333333325,0.9003666666666665,0.6481433333333335,0.6430066666666666,0.9496559999999997,0.5346966666666662,0.5930633333333329,0.6678700000000003,1.0142933333333333,0.7115466666666663,0.6189466666666666,1.05793,1.0917919999999999,1.1107999999999991,0.7874533333333334,0.0,0.8769699999999997,0.9173866666666672
FH_UVA_Ensemble,0.6294400000000007,0.9690766666666659,1.5944166666666681,0.5361666666666666,0.6271566666666665,0.6613066666666663,0.5965033333333337,0.7146333333333336,0.6497166666666669,0.5845499999999998,0.383826666666667,0.6852066666666666,0.6341499999999998,0.6493933333333335,0.5627433333333335,0.7322633333333329,0.47963000000000033,0.9671333333333338,0.8166133333333333,0.5527959999999998,0.8376433333333334,0.8825999999999999,0.8335299999999991,0.4248066666666668,0.6954033333333329,0.573276666666667,0.38321,1.178868,0.4681766666666664,0.6873199999999997,0.8769699999999997,0.0,0.4997566666666666
USC_SI_kJalpha,0.8154633333333333,0.9403333333333338,1.4849233333333325,0.5124233333333333,0.4565766666666672,0.4851266666666669,0.38915999999999995,0.5211433333333331,0.4275433333333333,0.5488966666666669,0.3528900000000001,0.8037266666666664,0.7573666666666666,0.64095,0.7200266666666667,0.6618599999999989,0.5456966666666662,1.0672700000000002,0.9477900000000004,0.6667839999999999,0.8297799999999996,0.899846666666667,0.8038966666666673,0.49360000000000015,0.7672200000000001,0.7703233333333332,0.3591400000000001,1.038136,0.42951333333333375,0.8387266666666667,0.9173866666666672,0.4997566666666666,0.0
