,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_LANL_GrowthRate,1.0737299999999994,0.9464100000000004,1.483759999999997,0.6463733333333331,1.2685799999999996,1.3269449999999998,0.6059000000000004,1.33483,1.300986666666666,0.7598966666666667,0.2800833333333333,1.2751833333333347,0.6954500000000001,0.3991400000000001,1.042333333333333,0.7863766666666666,1.1464866666666664,0.7127433333333338,1.3963999999999996,1.0316800000000002,0.0,0.9615733333333335,0.40369999999999984,0.08723666666666666,0.5827100000000002,0.0828466666666667,1.2497599999999998,0.9203066666666666,0.6011900000000001,0.9730266666666667,0.5285166666666664,1.0644199999999995
FH_LNQ_ens1,0.48449,0.82182,1.2345066666666675,0.5986700000000003,0.5211450000000002,0.5218950000000003,0.6522699999999999,0.4627200000000001,0.5767233333333331,0.6627066666666667,0.8116999999999999,0.6034533333333331,0.7800400000000002,0.8856999999999996,0.5843099999999998,0.7263466666666668,0.3481400000000002,0.6669166666666666,0.2167199999999999,0.6636899999999991,0.9615733333333335,0.0,0.9189399999999996,0.8731466666666667,0.855705,0.9345833333333338,0.3416400000000001,0.6749866666666666,0.5858049999999999,0.635666666666667,0.5993933333333333,0.5294699999999999
FH_MSRA_DeepST,0.8791000000000001,0.9367800000000002,1.4004999999999999,0.8925799999999998,0.9582599999999998,0.9348600000000001,0.6500199999999998,0.9244399999999999,0.9244399999999999,0.6708200000000001,0.5215000000000001,0.9479800000000002,,0.5071799999999999,0.80048,0.8459399999999998,0.9137999999999998,0.8322799999999999,,0.8946,0.40369999999999984,0.9189399999999996,0.0,0.5489,0.69922,0.42202000000000006,,0.6805000000000001,,,0.6997199999999999,0.8262799999999997
FH_RobertWalraven_ESG,1.03229,0.8836966666666677,1.3994766666666676,0.5877133333333336,1.247234999999999,1.2907500000000005,0.58518,1.2597349999999998,1.2395900000000006,0.7564533333333334,0.2911100000000001,1.2327066666666664,0.6786100000000002,0.41344000000000025,0.9782866666666664,0.7524800000000001,1.0607800000000005,0.7057033333333332,1.2941,0.9733500000000002,0.08723666666666666,0.8731466666666667,0.5489,0.0,0.5620449999999999,0.15576333333333336,1.1448199999999997,0.8582966666666672,0.5968450000000001,0.9188733333333332,0.4892466666666662,1.013716666666666
FH_TTU_squider,0.9745599999999998,0.7982900000000002,1.1163649999999996,0.7134900000000001,1.1214649999999997,1.1656750000000005,0.7040899999999994,1.1465799999999988,1.1465799999999988,0.7665050000000003,0.5570650000000001,1.1259199999999998,0.6834000000000002,0.6536199999999994,0.9892949999999996,0.85347,1.0327866666666665,0.8180250000000003,1.10126,1.0310549999999996,0.5827100000000002,0.855705,0.69922,0.5620449999999999,0.0,0.5777400000000003,0.9392800000000001,0.9358449999999995,0.7123099999999997,0.8836599999999999,0.6669550000000001,1.017055
FH_UCLA_SuEIR,1.0632899999999994,0.91219,1.4333033333333354,0.6149633333333334,1.2571449999999995,1.312955,0.6467449999999999,1.3359850000000002,1.282693333333333,0.7308100000000001,0.3029966666666668,1.258990000000001,0.6789699999999997,0.4062300000000001,1.0348899999999999,0.77015,1.1779200000000003,0.6810533333333334,1.3625800000000001,1.0071366666666668,0.0828466666666667,0.9345833333333338,0.42202000000000006,0.15576333333333336,0.5777400000000003,0.0,1.23574,0.8795233333333338,0.6313999999999997,0.9071266666666664,0.5437466666666662,1.044353333333333
FH_UCSB_ACTS,0.5217999999999999,0.9926000000000004,1.33068,0.5143200000000001,0.51414,0.40134000000000003,0.9938600000000002,0.3703399999999999,0.3703399999999999,0.4863,0.8699399999999998,0.33392000000000005,0.5532999999999998,0.9565799999999999,0.25712,0.5836800000000001,0.3586000000000001,0.7682199999999999,0.2588999999999999,0.31605999999999995,1.2497599999999998,0.3416400000000001,,1.1448199999999997,0.9392800000000001,1.23574,0.0,0.7154600000000002,0.8925799999999999,,0.7689599999999999,0.41032000000000013
FH_UMich_RidgeTfReg,0.58917,0.7765099999999997,1.1667699999999994,0.8100300000000006,0.76271,0.7071199999999996,0.7976099999999999,0.6936950000000001,0.7630766666666665,0.8436099999999999,0.8423699999999992,0.7740033333333332,0.6941999999999999,0.8246366666666667,0.8213466666666668,0.7809133333333329,0.6342333333333332,0.8644100000000001,0.6990199999999999,0.8206166666666668,0.9203066666666666,0.6749866666666666,0.6805000000000001,0.8582966666666672,0.9358449999999995,0.8795233333333338,0.7154600000000002,0.0,0.889825,0.2046466666666667,0.8475499999999994,0.7931633333333331
FH_USACE_ERDC_SEIR,0.9074599999999998,0.9357949999999999,1.3999950000000003,0.6249,0.7254499999999999,0.74483,0.4137899999999999,0.7359199999999997,0.7806800000000003,0.656755,0.6688650000000004,0.8617400000000005,0.7398799999999998,0.7447699999999999,0.6663600000000005,0.7441149999999996,0.8514200000000001,0.6935950000000003,0.92432,0.7986,0.6011900000000001,0.5858049999999999,,0.5968450000000001,0.7123099999999997,0.6313999999999997,0.8925799999999999,0.889825,0.0,0.7180199999999998,0.31676,0.6944250000000006
UMich_RidgeTfReg,,0.7018066666666662,1.1588533333333344,0.8194133333333333,0.86218,0.819,0.8983599999999999,0.8982800000000001,0.7603399999999996,0.8396333333333333,0.8661999999999999,0.6891399999999999,,0.8574466666666668,0.8622133333333338,0.7184733333333339,0.5809200000000001,0.8536599999999999,,0.8099866666666669,0.9730266666666667,0.635666666666667,,0.9188733333333332,0.8836599999999999,0.9071266666666664,,0.2046466666666667,0.7180199999999998,0.0,0.8577733333333332,0.8090333333333332
USC_SI_kJalpha,0.8929400000000001,0.8895533333333328,1.3792933333333315,0.6245566666666669,0.771885,0.8241549999999997,0.48065,0.7814799999999997,0.8519133333333325,0.6499999999999998,0.5950166666666671,0.9091499999999998,0.7412900000000002,0.7062099999999997,0.6788433333333334,0.8194866666666665,0.7936400000000001,0.6069633333333333,0.9199400000000003,0.8119266666666669,0.5285166666666664,0.5993933333333333,0.6997199999999999,0.4892466666666662,0.6669550000000001,0.5437466666666662,0.7689599999999999,0.8475499999999994,0.31676,0.8577733333333332,0.0,0.6988633333333331
ensemble_SIkJa_RF,0.44818,0.885123333333333,1.360693333333333,0.8233199999999999,0.3624350000000002,0.3506250000000003,0.6969249999999999,0.3677650000000001,0.47525666666666616,0.7507600000000003,1.0106333333333333,0.5350366666666665,0.8441900000000004,1.0331166666666676,0.4883200000000004,0.847949999999999,0.31200666666666693,0.735623333333333,0.2878,0.6510299999999997,1.0644199999999995,0.5294699999999999,0.8262799999999997,1.013716666666666,1.017055,1.044353333333333,0.41032000000000013,0.7931633333333331,0.6944250000000006,0.8090333333333332,0.6988633333333331,0.0
