,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_Microsoft_DeepSTIA,0.51544,0.49180400000000013,0.6325640000000003,1.6806500000000009,0.4414160000000001,0.51544,0.6750959999999999,0.6861000000000002,0.6637480000000001,0.6958240000000002,0.6799600000000001,0.4918640000000002,0.4544640000000001,0.5209680000000001,0.5048279999999999,0.4544640000000002,0.6270949999999998,0.5473,0.5090560000000003,0.6870120000000004,0.512192,0.44562400000000024,0.4204349999999999,0.6561999999999999,0.4935560000000003,0.5413899999999998,0.5162,0.0,0.6214240000000001,0.529304,0.9363400000000002,0.4855319999999997,0.578392,0.4327549999999999,0.5432400000000002,0.47402799999999995,0.5143160000000001,0.5043720000000002
FH_OneQuietNight_ML,0.21270000000000003,0.7273266666666663,0.6840033333333337,1.6042599999999994,0.6987240000000002,0.21270000000000003,0.8067679999999998,0.7810640000000003,0.8403599999999996,0.7782040000000002,0.8052600000000001,0.7425799999999999,0.6629440000000003,0.6843879999999999,0.6328400000000003,0.8205633333333332,0.6046950000000002,0.48460000000000003,0.7706080000000006,0.6432519999999999,0.7139959999999999,0.8477439999999997,0.7605519999999999,0.6931449999999997,0.749224,0.7308600000000001,0.90054,0.6214240000000001,0.0,0.7286499999999999,1.1279800000000002,0.673793333333333,0.6273560000000002,0.87389,0.7033240000000003,0.6155239999999998,0.7775733333333327,0.6071866666666665
FH_RobertWalraven_ESG,0.7339000000000001,0.3839566666666669,0.621036666666667,1.5521199999999995,0.19629599999999991,0.7339000000000001,0.7673480000000004,0.8132719999999994,0.6947039999999998,0.850608,0.8049719999999999,0.40145199999999986,0.18397199999999983,0.7215079999999995,0.5585079999999998,0.47130000000000016,0.37155000000000027,1.0905800000000003,0.21381599999999998,0.8621639999999992,0.7288759999999991,0.34447200000000033,0.2878039999999998,0.798295,0.31707599999999997,0.27125333333333324,0.05535999999999998,0.529304,0.7286499999999999,0.0,0.7549000000000002,0.12469333333333334,0.300012,0.7696949999999994,0.6349920000000001,0.3448559999999998,0.17593999999999987,0.45707000000000014
FH_SigSci_TS,1.0306399999999996,0.8088999999999997,0.9281799999999998,1.01096,0.75712,1.0306399999999996,0.93722,0.9532800000000003,0.9127399999999999,1.0164600000000004,0.9127399999999999,0.7998000000000005,0.7619800000000002,0.9429600000000002,0.9461799999999999,0.7542800000000003,,,0.7564800000000003,1.01106,0.8685199999999998,0.7482199999999999,0.7562800000000003,0.9210199999999997,0.7897200000000001,0.7982000000000004,0.7535399999999999,0.9363400000000002,1.1279800000000002,0.7549000000000002,0.0,0.7607200000000001,0.8643199999999999,,0.9320200000000003,0.8151600000000001,0.7559999999999999,0.8917599999999999
FH_TTU_squider,0.6867200000000001,0.34193333333333326,0.6391733333333334,1.5659399999999997,0.2228880000000001,0.6867200000000001,0.7982879999999999,0.8379759999999996,0.7174999999999997,0.862556,0.8188479999999999,0.4243360000000002,0.18639200000000009,0.669372,0.5762719999999999,0.46837000000000034,0.39936,0.8825600000000001,0.2503279999999999,0.8314640000000003,0.6516839999999998,0.3392760000000003,0.26611200000000024,0.8313099999999993,0.37877200000000033,0.27906000000000014,0.0021200000000000004,0.4855319999999997,0.673793333333333,0.12469333333333334,0.7607200000000001,0.0,0.339372,0.668555,0.659288,0.36318000000000006,0.15073333333333314,0.42978000000000016
FH_UCLA_SuEIR,0.7029999999999998,0.5474159999999999,0.6721320000000001,1.5683800000000003,0.39290400000000025,0.7029999999999998,0.7529119999999997,0.7778399999999993,0.6745639999999998,0.7979240000000004,0.7546560000000001,0.5141160000000001,0.3791400000000001,0.6897119999999993,0.5866280000000003,0.5433600000000001,0.51481,0.96644,0.39070800000000017,0.813844,0.7179719999999994,0.5000920000000001,0.4181050000000004,0.8016350000000001,0.4698360000000001,0.3274300000000001,0.32366,0.578392,0.6273560000000002,0.300012,0.8643199999999999,0.339372,0.0,0.7901149999999998,0.686668,0.41952399999999984,0.4030640000000004,0.516876
FH_UCSB_ACTS,,0.6159100000000002,0.6566500000000004,1.5506133333333338,0.65833,,0.6460899999999999,0.6553849999999999,0.6405450000000004,0.6402600000000005,0.6402600000000005,0.67177,0.6791750000000002,0.5454650000000001,0.692615,0.5685950000000001,0.7931099999999993,0.3032599999999999,0.6607999999999996,0.7770400000000001,0.5708199999999999,0.4497950000000002,0.5090733333333333,0.6994266666666665,0.7021649999999994,0.6514399999999999,,0.4327549999999999,0.87389,0.7696949999999994,,0.668555,0.7901149999999998,0.0,0.629335,0.699815,0.6686899999999995,0.6926449999999995
FH_UMich_RidgeTfReg,0.5960599999999999,0.7448359999999997,0.6501679999999997,1.5551350000000002,0.616256,0.5960599999999999,0.6835840000000005,0.6717679999999999,0.6876479999999999,0.687876,0.6716679999999999,0.6553199999999999,0.629332,0.8127160000000001,0.6245399999999999,0.6689480000000004,0.6738149999999998,0.88154,0.6138559999999997,0.660764,0.7214919999999999,0.6530799999999998,0.64631,0.6578749999999998,0.6165159999999997,0.8254699999999998,0.6184200000000002,0.5432400000000002,0.7033240000000003,0.6349920000000001,0.9320200000000003,0.659288,0.686668,0.629335,0.0,0.6154479999999998,0.69182,0.6796440000000002
FH_UVA_Ensemble,0.7179800000000003,0.48382800000000004,0.5895799999999998,1.6869500000000004,0.3619160000000001,0.7179800000000003,0.6341639999999998,0.656172,0.5947039999999998,0.6680359999999997,0.6239,0.49054400000000015,0.3545040000000001,0.5946999999999997,0.5400199999999995,0.5064520000000002,0.5036000000000004,0.8534600000000002,0.3976520000000003,0.6730360000000002,0.6005400000000005,0.5069400000000004,0.4454450000000001,0.6706550000000003,0.441984,0.39222,0.2566,0.47402799999999995,0.6155239999999998,0.3448559999999998,0.8151600000000001,0.36318000000000006,0.41952399999999984,0.699815,0.6154479999999998,0.0,0.4021960000000003,0.4699120000000001
USC_SI_kJalpha,0.7409800000000003,0.3175066666666668,0.6595099999999997,1.530824999999999,0.24026399999999995,0.7409800000000003,0.7768439999999999,0.8210480000000001,0.713228,0.8576680000000003,0.8100080000000002,0.4377360000000002,0.27344,0.6550559999999997,0.593072,0.4593333333333335,0.39469999999999983,0.9037599999999999,0.24028400000000008,0.846224,0.6470919999999996,0.34384800000000026,0.31054,0.7815649999999996,0.36906000000000017,0.2856333333333334,0.054179999999999964,0.5143160000000001,0.7775733333333327,0.17593999999999987,0.7559999999999999,0.15073333333333314,0.4030640000000004,0.6686899999999995,0.69182,0.4021960000000003,0.0,0.4436900000000001
ensemble_SIkJa_RF,0.8305999999999999,0.47341666666666676,0.6311333333333335,1.6017400000000002,0.4193919999999998,0.8305999999999999,0.6313480000000005,0.6413599999999998,0.6005719999999999,0.6335759999999995,0.6201479999999997,0.5035320000000003,0.47193200000000035,0.578896,0.5232240000000002,0.4638166666666666,0.5783500000000001,0.7245200000000002,0.4529720000000001,0.7182200000000004,0.539828,0.5185160000000003,0.44572800000000024,0.6796599999999998,0.45037200000000016,0.43326000000000015,0.3674200000000002,0.5043720000000002,0.6071866666666665,0.45707000000000014,0.8917599999999999,0.42978000000000016,0.516876,0.6926449999999995,0.6796440000000002,0.4699120000000001,0.4436900000000001,0.0
