,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_JHU_UNC_GAS_StatMechPool,0.9547299999999999,0.2811720000000003,0.651404,1.5194099999999984,0.19336799999999993,0.9547299999999999,0.739163999999999,0.783052,0.675236,0.8191159999999998,0.7718679999999998,0.35633200000000037,0.3018040000000002,0.5261800000000002,0.4824440000000001,0.26700000000000024,0.52689,0.26215999999999995,0.9571760000000001,0.49370000000000014,0.0,0.12941000000000005,0.6429000000000002,0.29531600000000036,0.19148000000000018,0.06006000000000001,0.36036800000000035,0.937728,0.2509319999999998,0.74182,0.26117199999999996,0.46979600000000005,0.4265866666666665,0.6154600000000006,0.4933000000000002,0.2383759999999997,0.5163550000000007
FH_Karlen_pypm,0.9583799999999999,0.23784400000000008,0.63796,1.5672200000000003,0.0968250000000001,0.9583799999999999,0.7218499999999999,0.7674649999999997,0.6333600000000003,0.8098549999999993,0.7505499999999996,0.2323099999999999,0.22012999999999983,0.4097050000000002,0.39892500000000014,0.1597999999999999,0.46088666666666694,0.18300499999999997,0.9163500000000004,0.3621500000000004,0.12941000000000005,0.0,0.6180699999999999,0.14121000000000022,0.24576,0.0411,0.3193399999999999,0.8622920000000001,0.19671599999999986,0.7429800000000002,0.1941359999999998,0.3559699999999998,0.46885999999999994,0.6077900000000003,0.40830000000000005,0.213492,0.4499000000000005
FH_LANL_GrowthRate,0.7328600000000002,0.6429680000000001,0.6272479999999996,1.5831650000000004,0.6400480000000004,0.7328600000000002,0.40642399999999995,0.3820800000000002,0.4929640000000003,0.4081720000000001,0.4276880000000003,0.5149839999999999,0.728484,0.5955759999999997,0.5494759999999999,0.5522600000000001,0.7544100000000005,0.6026840000000006,0.6049720000000004,0.5274,0.6429000000000002,0.6180699999999999,0.0,0.44943199999999994,0.5198466666666669,0.5219900000000001,0.619828,0.7084759999999998,0.733468,0.6536799999999998,0.7571319999999995,0.7842839999999998,0.6994266666666665,0.6360719999999999,0.6706550000000003,0.7206119999999999,0.6796599999999998
FH_LNQ_ens1,0.9386700000000004,0.2738720000000001,0.64066,1.5796949999999992,0.21658800000000014,0.9386700000000004,0.6109399999999998,0.6383480000000002,0.5724920000000008,0.6798760000000004,0.6416960000000002,0.25711200000000034,0.3783280000000001,0.4031840000000002,0.36283200000000004,0.17446399999999998,0.530825,0.2786360000000002,0.8070239999999997,0.36455200000000026,0.29531600000000036,0.14121000000000022,0.44943199999999994,0.0,0.12842000000000006,0.07304999999999996,0.38580400000000015,0.8238280000000003,0.30960800000000016,0.74391,0.3381840000000005,0.475808,0.6254666666666668,0.6304559999999999,0.46773999999999993,0.30099200000000026,0.4600700000000003
FH_MIT_ISOLAT_Mixtures,0.9465899999999996,0.25397000000000003,0.593505,1.5678800000000004,0.11484000000000007,0.9465899999999996,0.6298733333333332,0.6778800000000004,0.5670333333333334,0.7164266666666669,0.6772066666666667,0.1853866666666667,0.2337800000000001,0.43404000000000015,0.39214666666666664,0.26760499999999987,0.44154999999999994,0.14691333333333345,0.9237333333333337,0.3099266666666668,0.19148000000000018,0.24576,0.5198466666666669,0.12842000000000006,0.0,0.11757,0.3778866666666666,0.8527599999999996,0.21606499999999987,0.7581000000000002,0.23539500000000008,0.34916666666666657,0.6514399999999999,0.6808133333333333,0.39222,0.23381000000000007,0.43326000000000015
FH_MOBS_GLEAM_COVID,0.9283000000000001,0.05614999999999999,0.6110400000000002,1.5673500000000005,0.06110999999999998,0.9283000000000001,0.6908699999999999,0.7425500000000003,0.6067599999999999,0.8209499999999998,0.7118299999999997,0.13125999999999996,0.12145999999999998,0.53205,0.35760000000000003,0.05636000000000002,0.3688600000000002,0.07963999999999997,0.9991599999999998,0.15780000000000002,0.06006000000000001,0.0411,0.5219900000000001,0.07304999999999996,0.11757,0.0,0.27589000000000025,1.0795899999999998,0.04361000000000001,0.7303899999999998,0.016229999999999994,0.33759000000000006,,0.48512,0.2566,0.056530000000000004,0.3674200000000002
FH_Microsoft_DeepSTIA,0.8382000000000002,0.4133440000000003,0.6336920000000001,1.648675,0.3518800000000002,0.8382000000000002,0.6751519999999999,0.6959119999999998,0.6441679999999994,0.7134200000000006,0.6975560000000003,0.42598800000000014,0.3824200000000003,0.5174200000000001,0.4428760000000001,0.3715080000000001,0.56003,0.4139160000000005,0.7403759999999999,0.4462800000000003,0.36036800000000035,0.3193399999999999,0.619828,0.38580400000000015,0.3778866666666666,0.27589000000000025,0.0,0.7386999999999998,0.4145119999999999,0.8260400000000003,0.41271200000000013,0.5421679999999998,0.4261200000000001,0.5127880000000004,0.4916400000000001,0.4229120000000001,0.5157400000000003
FH_OneQuietNight_ML,0.14151,0.8320933333333331,0.7340366666666669,1.6051250000000004,0.7749879999999998,0.14151,0.7870479999999996,0.7542919999999994,0.851604,0.7572400000000005,0.7842960000000003,0.7895119999999995,0.7325039999999998,0.7265400000000001,0.7174279999999998,0.9107866666666663,0.6849299999999997,0.8170880000000001,0.6123399999999998,0.8291000000000006,0.937728,0.8622920000000001,0.7084759999999998,0.8238280000000003,0.8527599999999996,1.0795899999999998,0.7386999999999998,0.0,0.7852233333333333,0.7139800000000003,0.7469500000000003,0.6894080000000004,0.9527999999999999,0.7337559999999999,0.5732799999999999,0.8173166666666661,0.5997720000000005
FH_RobertWalraven_ESG,0.9595500000000005,0.28024666666666725,0.6070766666666667,1.5601099999999994,0.1652639999999998,0.9595500000000005,0.8705360000000003,0.9191679999999992,0.7762319999999993,0.957396,0.9117599999999999,0.38698800000000017,0.16068799999999991,0.5930560000000001,0.48647599999999996,0.42303000000000024,0.37501999999999996,0.216724,0.9442239999999998,0.5801839999999996,0.2509319999999998,0.19671599999999986,0.733468,0.30960800000000016,0.21606499999999987,0.04361000000000001,0.4145119999999999,0.7852233333333333,0.0,0.7388899999999999,0.08745666666666678,0.30473999999999984,0.7098733333333328,0.642156,0.35416,0.12216666666666663,0.4719640000000003
FH_SigSci_TS,0.6949,0.7730099999999999,0.77209,1.0822599999999998,0.7421099999999997,0.6949,0.6381100000000002,0.6206100000000002,0.7128999999999998,0.6439200000000003,0.5920599999999999,0.6919800000000003,0.7320100000000003,0.7313300000000003,0.78628,0.7410599999999996,0.7686800000000001,0.7396100000000001,0.7887400000000006,0.7431200000000001,0.74182,0.7429800000000002,0.6536799999999998,0.74391,0.7581000000000002,0.7303899999999998,0.8260400000000003,0.7139800000000003,0.7388899999999999,0.0,0.7323,0.79306,,0.8094,0.8151600000000001,0.7443599999999998,0.8917599999999999
FH_TTU_squider,0.91217,0.2656500000000003,0.62206,1.5675599999999992,0.16263200000000003,0.91217,0.8535519999999998,0.9031359999999999,0.7603479999999995,0.9384839999999998,0.8947759999999997,0.3960160000000003,0.14184399999999994,0.5718279999999999,0.5094640000000004,0.4220366666666668,0.3679650000000001,0.21463199999999985,0.9080320000000002,0.5555,0.26117199999999996,0.1941359999999998,0.7571319999999995,0.3381840000000005,0.23539500000000008,0.016229999999999994,0.41271200000000013,0.7469500000000003,0.08745666666666678,0.7323,0.0,0.33654,0.65138,0.6372920000000005,0.34969,0.10448000000000018,0.45058400000000015
FH_UCLA_SuEIR,0.8252199999999997,0.4750520000000001,0.6590199999999997,1.560355,0.389352,0.8252199999999997,0.8107799999999995,0.8409879999999998,0.726312,0.8622160000000006,0.8189480000000003,0.5011160000000001,0.37624000000000024,0.6214240000000005,0.560684,0.5213720000000004,0.5084949999999997,0.40682000000000035,0.9011359999999994,0.6292119999999991,0.46979600000000005,0.3559699999999998,0.7842839999999998,0.475808,0.34916666666666657,0.33759000000000006,0.5421679999999998,0.6894080000000004,0.30473999999999984,0.79306,0.33654,0.0,0.7643866666666665,0.6864040000000001,0.41749000000000014,0.36570400000000025,0.516855
FH_UCSB_ACTS,,0.6633533333333335,0.6577533333333337,1.5397200000000006,0.5895200000000002,,0.5624000000000001,0.5774466666666668,0.5570133333333336,0.57466,0.57466,0.6109466666666666,0.6483800000000002,0.5989266666666669,0.7217866666666669,0.5324399999999998,0.7224866666666665,0.5834599999999996,0.8193333333333336,0.6165599999999999,0.4265866666666665,0.46885999999999994,0.6994266666666665,0.6254666666666668,0.6514399999999999,,0.4261200000000001,0.9527999999999999,0.7098733333333328,,0.65138,0.7643866666666665,0.0,0.59438,0.7062733333333333,0.6575666666666659,0.7128399999999997
FH_UMich_RidgeTfReg,0.7483800000000004,0.688752,0.6661679999999996,1.5346600000000004,0.6169879999999996,0.7483800000000004,0.7569199999999995,0.7354999999999999,0.7438079999999999,0.7466159999999997,0.730408,0.677544,0.6263439999999997,0.7528799999999999,0.5924679999999996,0.6627960000000006,0.6666749999999999,0.6318039999999995,0.6698879999999997,0.6292159999999999,0.6154600000000006,0.6077900000000003,0.6360719999999999,0.6304559999999999,0.6808133333333333,0.48512,0.5127880000000004,0.7337559999999999,0.642156,0.8094,0.6372920000000005,0.6864040000000001,0.59438,0.0,0.6473399999999997,0.6596679999999997,0.7097199999999997
FH_UVA_Ensemble,0.7179800000000003,0.45753500000000025,0.5745799999999999,1.6823999999999995,0.36396500000000004,0.7179800000000003,0.7026749999999999,0.7303149999999999,0.6529349999999999,0.7521199999999996,0.6969499999999997,0.5014349999999996,0.36476,0.5210349999999999,0.5138749999999999,0.5261600000000003,0.4824133333333334,0.41181500000000004,0.700975,0.56628,0.4933000000000002,0.40830000000000005,0.6706550000000003,0.46773999999999993,0.39222,0.2566,0.4916400000000001,0.5732799999999999,0.35416,0.8151600000000001,0.34969,0.41749000000000014,0.7062733333333333,0.6473399999999997,0.0,0.39079500000000034,0.482285
USC_SI_kJalpha,0.9523499999999998,0.2407066666666669,0.633413333333333,1.5471299999999983,0.16548800000000002,0.9523499999999998,0.8120679999999996,0.859236,0.7254760000000002,0.8964880000000002,0.848828,0.38869200000000026,0.21098399999999992,0.5649160000000002,0.5012720000000003,0.38312000000000024,0.37690000000000007,0.1913,0.9302519999999997,0.5425639999999997,0.2383759999999997,0.213492,0.7206119999999999,0.30099200000000026,0.23381000000000007,0.056530000000000004,0.4229120000000001,0.8173166666666661,0.12216666666666663,0.7443599999999998,0.10448000000000018,0.36570400000000025,0.6575666666666659,0.6596679999999997,0.39079500000000034,0.0,0.4244200000000004
ensemble_SIkJa_RF,0.8305999999999999,0.473792,0.6307680000000001,1.6042733333333339,0.4246599999999998,0.8305999999999999,0.7009900000000006,0.7150250000000001,0.6676850000000004,0.7167399999999994,0.6999549999999999,0.5141650000000005,0.4941850000000002,0.49303000000000013,0.48717500000000014,0.4864400000000002,0.5601800000000001,0.45556499999999994,0.73338,0.5348699999999996,0.5163550000000007,0.4499000000000005,0.6796599999999998,0.4600700000000003,0.43326000000000015,0.3674200000000002,0.5157400000000003,0.5997720000000005,0.4719640000000003,0.8917599999999999,0.45058400000000015,0.516855,0.7128399999999997,0.7097199999999997,0.482285,0.4244200000000004,0.0
