,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_JHU_IDD_CovidSP,0.6087280000000002,0.4286100000000001,0.7428933333333335,1.4586466666666658,0.4282133333333335,0.6334840000000003,0.6550400000000004,0.6842199999999998,0.6353900000000001,0.7271366666666669,0.6911566666666671,0.4311366666666666,0.4523400000000001,0.7036480000000008,0.5388733333333338,0.46291000000000015,0.9290199999999997,0.8193879999999996,0.44639,0.9059299999999998,0.0,0.41615666666666684,0.4509633333333335,0.7388866666666661,0.4274466666666668,0.42831333333333355,0.43101000000000017,0.47172000000000025,0.7923466666666665,0.4090933333333336,0.8755533333333341,0.41156666666666664,0.7082080000000001,0.6727700000000002,0.505356,0.43911333333333363,0.48042
FH_JHU_UNC_GAS_StatMechPool,0.6506679999999999,0.08893999999999998,0.7326933333333336,1.5377933333333325,0.06509333333333332,0.7572120000000001,0.5445400000000006,0.5895766666666667,0.5398799999999996,0.6490366666666667,0.6096633333333331,0.10187999999999997,0.10840000000000001,0.5977760000000001,0.3476800000000002,0.11272666666666666,1.3269,0.7048439999999996,0.1452433333333333,1.032706666666667,0.41615666666666684,0.0,0.11377999999999998,0.6990733333333333,0.13563666666666654,0.07200666666666666,0.15115666666666674,0.22902000000000025,0.8891033333333328,0.03551666666666667,0.7807633333333338,0.044716666666666655,0.5648600000000001,0.6743633333333329,0.16913599999999998,0.13346333333333332,0.343
FH_Karlen_pypm,0.7121639999999996,0.1308933333333333,0.7384366666666666,1.5295433333333326,0.10361333333333332,0.8175679999999997,0.5032700000000004,0.5377,0.494673333333333,0.5991766666666667,0.5596400000000002,0.15011666666666673,0.15180333333333332,0.6611519999999995,0.3907333333333335,0.10736000000000007,1.3497400000000004,0.6983360000000001,0.18331666666666668,1.0180833333333328,0.4509633333333335,0.11377999999999998,0.0,0.6442433333333336,0.14731333333333338,0.12889666666666663,0.16745333333333332,0.27807333333333345,0.8957433333333338,0.08522666666666667,0.7543433333333334,0.10477000000000004,0.5791880000000003,0.6620066666666666,0.21821999999999994,0.12455666666666668,0.32978
FH_LANL_GrowthRate,0.72314,0.6990466666666666,0.7148966666666668,1.5497900000000007,0.6651299999999997,0.7806239999999998,0.5089566666666668,0.4717633333333333,0.5545633333333332,0.4581633333333332,0.4744266666666665,0.6753933333333332,0.6781566666666667,0.7499639999999997,0.7191400000000001,0.6672133333333333,0.8474600000000001,0.9388399999999999,0.6673766666666666,0.6639033333333324,0.7388866666666661,0.6990733333333333,0.6442433333333336,0.0,0.6119533333333333,0.6908533333333332,0.6311933333333334,0.5748166666666663,0.6118366666666669,0.6911999999999994,0.8399533333333328,0.7075566666666668,0.7927080000000003,0.5508533333333333,0.7224480000000004,0.6586733333333337,0.67442
FH_LNQ_ens1,0.6603400000000006,0.1543366666666666,0.7233199999999997,1.4801833333333339,0.11392000000000005,0.7681800000000006,0.5154033333333333,0.5504766666666667,0.5041333333333337,0.6017800000000002,0.5699633333333335,0.17193666666666674,0.16894666666666672,0.6640920000000002,0.42186666666666683,0.12772333333333338,1.3683999999999994,0.6953799999999998,0.21722333333333343,0.9844100000000005,0.4274466666666668,0.13563666666666654,0.14731333333333338,0.6119533333333333,0.0,0.14937999999999999,0.18353999999999998,0.2822866666666668,0.9197533333333336,0.10482666666666665,0.7340333333333339,0.12894999999999998,0.635196,0.6813166666666667,0.26121199999999994,0.15131999999999993,0.37984000000000007
FH_MIT_ISOLAT_Mixtures,0.6578039999999996,0.10655666666666672,0.7407300000000002,1.5307099999999987,0.0935533333333333,0.76314,0.5286366666666669,0.5667866666666667,0.5359466666666672,0.624533333333333,0.6049233333333329,0.11709333333333342,0.12933666666666668,0.6128599999999995,0.35500666666666675,0.14300666666666667,1.3225200000000001,0.6886279999999997,0.16628333333333326,1.011873333333333,0.42831333333333355,0.07200666666666666,0.12889666666666663,0.6908533333333332,0.14937999999999999,0.0,0.16737333333333335,0.2400533333333332,0.8813800000000004,0.04605333333333332,0.8017266666666667,0.06746333333333339,0.5834440000000002,0.6702266666666664,0.18394800000000008,0.16359333333333329,0.36124
FH_MOBS_GLEAM_COVID,0.649592,0.15527666666666665,0.6941700000000004,1.5411233333333336,0.12359000000000006,0.7551279999999998,0.5038866666666667,0.5466433333333335,0.5124600000000001,0.6003266666666666,0.5639533333333333,0.16123333333333337,0.18265333333333325,0.6356640000000002,0.3999700000000004,0.14733333333333337,1.2884399999999994,0.722156,0.1976633333333335,0.9486766666666667,0.43101000000000017,0.15115666666666674,0.16745333333333332,0.6311933333333334,0.18353999999999998,0.16737333333333335,0.0,0.25041333333333354,0.8154733333333337,0.12570000000000006,0.7749799999999999,0.12210666666666664,0.5638839999999999,0.6187,0.23170800000000014,0.1771533333333333,0.3674200000000002
FH_Microsoft_DeepSTIA,0.5874840000000003,0.24269333333333334,0.7368733333333335,1.6261533333333336,0.23279333333333327,0.6920280000000003,0.5271866666666666,0.5588500000000003,0.5499700000000003,0.5989200000000003,0.5857000000000003,0.2510266666666666,0.2580166666666665,0.62104,0.4125400000000002,0.28397999999999995,0.9011,0.7592960000000002,0.2928200000000001,0.8742966666666672,0.47172000000000025,0.22902000000000025,0.27807333333333345,0.5748166666666663,0.2822866666666668,0.2400533333333332,0.25041333333333354,0.0,0.6824633333333334,0.2225599999999999,0.8968766666666664,0.23880666666666683,0.6472080000000002,0.5546799999999998,0.29547200000000007,0.29867333333333335,0.5598000000000001
FH_OneQuietNight_ML,0.27543999999999996,0.8690999999999993,0.8214000000000002,1.5954233333333336,0.8713599999999997,0.3232399999999999,0.7454633333333334,0.719873333333333,0.8137133333333333,0.6960933333333332,0.71864,0.8523833333333332,0.8609966666666666,0.676308,0.7305433333333333,0.9046199999999999,0.41628,1.181156,0.8463733333333333,0.6572166666666664,0.7923466666666665,0.8891033333333328,0.8957433333333338,0.6118366666666669,0.9197533333333336,0.8813800000000004,0.8154733333333337,0.6824633333333334,0.0,0.9026166666666665,0.9913366666666668,0.8981666666666667,0.8472799999999996,0.5981800000000004,0.7789840000000005,0.8873633333333327,0.97498
FH_RobertWalraven_ESG,0.6604560000000003,0.06881000000000002,0.7342033333333338,1.555829999999999,0.051666666666666645,0.7662040000000006,0.5122633333333336,0.5567733333333337,0.5133233333333335,0.6226733333333329,0.5846433333333328,0.07490333333333335,0.08779000000000002,0.6080520000000001,0.3383400000000002,0.09890999999999997,1.36212,0.6956999999999993,0.1242933333333334,1.045286666666666,0.4090933333333336,0.03551666666666667,0.08522666666666667,0.6911999999999994,0.10482666666666665,0.04605333333333332,0.12570000000000006,0.2225599999999999,0.9026166666666665,0.0,0.7871799999999999,0.023940000000000034,0.5475080000000002,0.6686399999999999,0.14337999999999998,0.12081333333333333,0.3240400000000001
FH_SigSci_TS,0.8498000000000004,0.8037166666666671,0.9044366666666671,0.8491099999999999,0.7614733333333338,0.9160760000000002,0.7239099999999999,0.7310733333333335,0.7184333333333333,0.7552066666666672,0.7379200000000004,0.7772700000000005,0.7812766666666676,0.9740920000000001,0.8793633333333328,0.7342933333333331,1.3453600000000001,0.72368,0.8384133333333332,0.9002500000000001,0.8755533333333341,0.7807633333333338,0.7543433333333334,0.8399533333333328,0.7340333333333339,0.8017266666666667,0.7749799999999999,0.8968766666666664,0.9913366666666668,0.7871799999999999,0.0,0.7829233333333333,0.9825120000000003,0.9318266666666665,0.8386440000000002,0.7197099999999996,0.8917599999999999
FH_TTU_squider,0.6472400000000003,0.07718333333333334,0.7374899999999991,1.543126666666665,0.059976666666666664,0.7526240000000004,0.5218533333333334,0.56662,0.5191366666666669,0.6295666666666662,0.5931433333333328,0.0944500000000001,0.0828733333333334,0.607352,0.35851333333333346,0.11161666666666671,1.3759000000000001,0.6920159999999999,0.13115000000000004,1.0550933333333339,0.41156666666666664,0.044716666666666655,0.10477000000000004,0.7075566666666668,0.12894999999999998,0.06746333333333339,0.12210666666666664,0.23880666666666683,0.8981666666666667,0.023940000000000034,0.7829233333333333,0.0,0.5636200000000001,0.6723133333333329,0.14539199999999994,0.12694666666666668,0.36918
FH_UCLA_SuEIR,0.80919,0.58856,0.7427720000000001,1.5595560000000002,0.5690880000000001,0.80919,0.7268920000000001,0.718076,0.726804,0.7400439999999993,0.6967759999999994,0.5427320000000001,0.5775880000000001,0.587048,0.5865880000000002,0.5994199999999998,0.8127000000000002,0.9833150000000005,0.5706720000000003,0.9162239999999998,0.7082080000000001,0.5648600000000001,0.5791880000000003,0.7927080000000003,0.635196,0.5834440000000002,0.5638839999999999,0.6472080000000002,0.8472799999999996,0.5475080000000002,0.9825120000000003,0.5636200000000001,0.0,0.6215960000000004,0.6525200000000005,0.6288600000000002,0.4914800000000001
FH_UMich_RidgeTfReg,0.675948,0.6627966666666666,0.6911166666666664,1.4181899999999985,0.6526133333333333,0.7354440000000003,0.7161133333333334,0.6932966666666665,0.7109199999999999,0.6963066666666664,0.6827999999999999,0.6544699999999997,0.6704066666666665,0.7094999999999999,0.6819666666666667,0.66275,0.41646,0.8527919999999999,0.6377833333333333,0.6667800000000006,0.6727700000000002,0.6743633333333329,0.6620066666666666,0.5508533333333333,0.6813166666666667,0.6702266666666664,0.6187,0.5546799999999998,0.5981800000000004,0.6686399999999999,0.9318266666666665,0.6723133333333329,0.6215960000000004,0.0,0.7054639999999999,0.6595499999999997,0.70604
FH_UVA_Ensemble,0.5719000000000001,0.18802800000000003,0.7356720000000002,1.5852119999999998,0.15748399999999999,0.6583649999999999,0.47859200000000024,0.5203920000000001,0.49585599999999974,0.5729520000000003,0.5288160000000002,0.19327600000000006,0.19256400000000004,0.5811150000000004,0.4091920000000004,0.21379199999999995,1.2960600000000002,0.8560400000000001,0.21478800000000003,0.9963439999999998,0.505356,0.16913599999999998,0.21821999999999994,0.7224480000000004,0.26121199999999994,0.18394800000000008,0.23170800000000014,0.29547200000000007,0.7789840000000005,0.14337999999999998,0.8386440000000002,0.14539199999999994,0.6525200000000005,0.7054639999999999,0.0,0.24046400000000004,0.34868000000000005
USC_SI_kJalpha,0.6936639999999994,0.15726000000000007,0.7168266666666664,1.4940333333333329,0.10319000000000003,0.8003439999999996,0.5062333333333336,0.5545799999999994,0.48866000000000026,0.6145799999999997,0.5748633333333332,0.1625499999999999,0.17758333333333337,0.63902,0.4314833333333334,0.09603666666666669,1.34916,0.6771719999999999,0.1815733333333334,0.9941300000000005,0.43911333333333363,0.13346333333333332,0.12455666666666668,0.6586733333333337,0.15131999999999993,0.16359333333333329,0.1771533333333333,0.29867333333333335,0.8873633333333327,0.12081333333333333,0.7197099999999996,0.12694666666666668,0.6288600000000002,0.6595499999999997,0.24046400000000004,0.0,0.321
ensemble_SIkJa_RF,0.8305999999999999,0.38444,0.6419999999999999,1.59366,0.33283999999999997,0.8305999999999999,0.7599400000000002,0.78152,0.7120000000000001,0.7791400000000002,0.7120000000000001,0.37838,0.4576999999999999,0.46669999999999995,0.5473999999999999,0.3231,,,0.37924000000000013,0.89264,0.48042,0.343,0.32978,0.67442,0.37984000000000007,0.36124,0.3674200000000002,0.5598000000000001,0.97498,0.3240400000000001,0.8917599999999999,0.36918,0.4914800000000001,0.70604,0.34868000000000005,0.321,0.0
