,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_JHU_UNC_GAS_StatMechPool,0.5425800000000001,0.6447399999999998,0.9338033333333324,1.3305999999999982,0.567532,0.5425800000000001,0.7135866666666666,0.6679899999999994,0.6949199999999998,0.7218566666666666,0.6999133333333332,0.741879999999999,0.7112599999999998,1.0326799999999998,0.8628100000000004,0.6366133333333328,0.7126600000000002,0.8168039999999996,0.56328,0.7697,0.7225766666666661,0.0,0.66294,0.7805533333333342,0.7366033333333328,0.6816166666666662,0.8049000000000001,0.5538200000000002,0.6885666666666669,0.8022199999999998,0.6826266666666663,0.9258066666666669,0.7518466666666664,0.8512800000000003,0.85948,0.584226666666667,0.6570566666666667
FH_KITmetricslab_select_ensemble,0.7559199999999998,0.6263800000000002,0.8706599999999998,1.6878199999999994,0.52804,0.7559199999999998,0.6407000000000003,0.49800000000000005,0.6454199999999999,0.6917,0.6917,0.70352,0.5371800000000001,,0.7322200000000001,0.76554,,,0.5768800000000001,0.7333400000000002,0.6142800000000002,0.66294,0.0,0.6293000000000001,0.49642,0.5411999999999999,0.55682,0.7194600000000001,0.7089399999999998,,0.5636000000000001,,0.9041600000000001,0.58932,0.7508799999999997,0.5099800000000001,0.5837199999999999
FH_Karlen_pypm,0.30463999999999997,0.4113133333333334,1.0192399999999995,1.4915066666666668,0.7127199999999999,0.30463999999999997,0.59312,0.6136366666666667,0.612026666666666,0.5446300000000003,0.6007033333333333,0.7504099999999999,0.8734499999999982,0.26439999999999997,0.5033066666666669,0.752823333333334,0.8487450000000003,1.164296,0.6077466666666667,0.5698766666666668,0.5593066666666671,0.7805533333333342,0.6293000000000001,0.0,0.5216466666666668,0.4150200000000001,0.7107199999999999,0.8490500000000001,0.6295899999999999,0.5731600000000004,0.8566033333333327,1.0317866666666662,1.0393333333333334,0.6981200000000003,0.6146333333333335,0.6822266666666668,0.7142433333333338
FH_LANL_GrowthRate,0.59342,0.6532633333333334,0.9360466666666671,1.30187,0.6958799999999998,0.59342,0.6464000000000005,0.6152933333333335,0.7116433333333335,0.5975866666666666,0.6372833333333335,0.8637000000000002,0.9917099999999999,0.2987799999999999,0.7276566666666671,0.618233333333333,0.9252250000000005,1.1202919999999994,0.73291,0.6351266666666668,0.6517333333333329,0.7366033333333328,0.49642,0.5216466666666668,0.0,0.5055833333333333,0.74646,0.8267766666666664,0.6915366666666665,0.6911799999999999,0.9396299999999996,0.9288733333333334,1.0337833333333326,0.8245200000000008,0.6815466666666669,0.8087199999999998,0.8461299999999995
FH_LNQ_ens1,0.21645999999999999,0.467326666666667,0.9286933333333334,1.3206166666666668,0.5637119999999999,0.21645999999999999,0.5655966666666665,0.6076533333333336,0.587896666666666,0.5455433333333334,0.5723999999999998,0.7862066666666662,0.8346299999999998,0.52656,0.7698433333333333,0.6877033333333332,0.9023849999999998,0.9982200000000006,0.5300366666666659,0.47611999999999977,0.5864266666666663,0.6816166666666662,0.5411999999999999,0.4150200000000001,0.5055833333333333,0.0,0.7170200000000001,0.7634166666666666,0.6847766666666664,0.6731159999999999,0.7937399999999996,0.9079,0.91602,0.8227499999999996,0.6890533333333327,0.7311099999999994,0.691133333333333
FH_MIT_Cassandra,0.8019799999999998,0.7602199999999999,0.8302600000000001,1.3511199999999999,0.7008399999999998,0.8019799999999998,0.7536399999999998,0.7208999999999999,0.78384,0.7400000000000001,0.7400000000000001,0.8286,0.7384400000000001,,0.8382200000000002,0.9883799999999997,,,0.7432999999999998,0.79562,0.8658200000000003,0.8049000000000001,0.55682,0.7107199999999999,0.74646,0.7170200000000001,0.0,0.62038,0.82786,,0.7252600000000001,,0.86354,0.7255400000000002,0.8548000000000002,0.6789800000000001,0.68918
FH_MIT_ISOLAT_Mixtures,0.5080200000000001,0.7025500000000001,0.8334699999999994,1.1717733333333322,0.5613839999999998,0.5080200000000001,0.611906666666667,0.6670266666666659,0.5520100000000004,0.6438166666666667,0.60647,0.5625766666666666,0.3613233333333336,1.03824,0.8787433333333337,0.7420599999999999,0.5699250000000002,0.3957480000000001,0.4808433333333333,0.8127300000000003,0.7885099999999999,0.5538200000000002,0.7194600000000001,0.8490500000000001,0.8267766666666664,0.7634166666666666,0.62038,0.0,0.7611800000000002,0.8381239999999998,0.3570333333333334,0.9656800000000002,0.3421733333333332,0.6511200000000001,0.9417599999999992,0.49009000000000025,0.45081
FH_MOBS_GLEAM_COVID,0.87204,0.5244866666666664,0.9146333333333329,1.473816666666664,0.7125919999999992,0.87204,0.7638100000000002,0.7163700000000001,0.8130566666666663,0.7780999999999999,0.8120233333333331,0.7686200000000004,0.9483466666666671,0.5854,0.7616733333333328,0.5863266666666669,0.7402649999999998,1.1150439999999995,0.6877566666666669,0.7501033333333333,0.5681666666666668,0.6885666666666669,0.7089399999999998,0.6295899999999999,0.6915366666666665,0.6847766666666664,0.82786,0.7611800000000002,0.0,0.5435440000000004,0.9362866666666664,0.9966533333333335,1.0530866666666667,0.9216400000000003,0.6840200000000001,0.6885300000000006,0.8504666666666669
FH_Microsoft_DeepSTIA,,0.5529400000000005,0.933728000000001,1.6055439999999999,0.7725599999999997,,0.777328,0.6667160000000002,0.829948,0.8075239999999998,0.7851760000000002,0.8430040000000002,0.9413839999999998,0.8711000000000003,0.496884,0.6911879999999998,0.6733950000000002,1.1577960000000014,0.8275000000000002,0.8206880000000002,0.44120800000000016,0.8022199999999998,,0.5731600000000004,0.6911799999999999,0.6731159999999999,,0.8381239999999998,0.5435440000000004,0.0,0.9391599999999999,1.2169999999999994,1.11862,0.8073599999999997,0.5260400000000001,0.650684,0.8913120000000002
FH_RobertWalraven_ESG,0.32552,0.7786766666666665,0.9959633333333333,1.5112166666666662,0.4922280000000003,0.32552,0.5385633333333336,0.6134466666666664,0.4068833333333336,0.5953500000000003,0.5171566666666669,0.45978333333333354,0.0860633333333334,1.1826200000000002,0.8701300000000002,0.9653433333333328,0.5730500000000002,0.2856600000000004,0.4290633333333337,0.8764399999999999,0.9005433333333325,0.6826266666666663,0.5636000000000001,0.8566033333333327,0.9396299999999996,0.7937399999999996,0.7252600000000001,0.3570333333333334,0.9362866666666664,0.9391599999999999,0.0,1.2049266666666665,0.2173700000000001,0.5714400000000002,0.9752466666666664,0.37918333333333365,0.22581000000000023
FH_SigSci_TS,,1.042933333333334,0.9022999999999998,0.6107933333333333,0.8275133333333333,,0.9373133333333336,0.9759266666666672,0.9776200000000004,0.9564266666666663,0.9362200000000002,1.0558600000000002,1.323906666666667,1.0665199999999997,1.2103599999999992,0.8900733333333337,1.3165199999999992,0.96802,0.9904199999999997,0.872226666666667,0.9403466666666664,0.9258066666666669,,1.0317866666666662,0.9288733333333334,0.9079,,0.9656800000000002,0.9966533333333335,1.2169999999999994,1.2049266666666665,0.0,1.2227000000000001,1.4672800000000001,1.0953533333333338,1.1638733333333333,1.119313333333333
FH_TTU_squider,0.3792399999999999,0.9127933333333327,0.9305566666666671,1.2585966666666666,0.6236640000000002,0.3792399999999999,0.6836733333333335,0.7517899999999997,0.584386666666666,0.7280866666666664,0.6651933333333327,0.5795666666666665,0.20179666666666674,1.2723799999999998,1.0446900000000001,0.9826500000000008,0.5709300000000003,0.24980399999999994,0.602693333333333,0.9329466666666669,1.0535966666666676,0.7518466666666664,0.9041600000000001,1.0393333333333334,1.0337833333333326,0.91602,0.86354,0.3421733333333332,1.0530866666666667,1.11862,0.2173700000000001,1.2227000000000001,0.0,0.7099599999999998,1.083993333333333,0.5565066666666666,0.3771066666666671
FH_UCLA_SuEIR,0.6648,0.67443,1.0054500000000002,1.5488300000000004,0.76397,0.6648,0.74225,0.71886,0.74536,0.75499,0.7456900000000001,0.7768800000000005,0.53351,0.8055600000000002,0.5552600000000002,1.0055800000000001,0.6316000000000002,1.03926,0.82042,0.76548,0.6586200000000001,0.8512800000000003,0.58932,0.6981200000000003,0.8245200000000008,0.8227499999999996,0.7255400000000002,0.6511200000000001,0.9216400000000003,0.8073599999999997,0.5714400000000002,1.4672800000000001,0.7099599999999998,0.0,0.8138699999999999,0.6062999999999998,0.6487800000000002
FH_UMich_RidgeTfReg,0.90354,0.6931766666666663,0.9086866666666674,1.3469399999999987,0.7611479999999996,0.90354,0.8124966666666672,0.7377499999999995,0.8512666666666665,0.7975266666666663,0.8153299999999994,0.8058999999999998,0.9599166666666654,0.5932599999999999,0.6252466666666666,0.8296266666666663,0.79722,1.1116240000000002,0.8655066666666668,0.7720000000000006,0.6588800000000001,0.85948,0.7508799999999997,0.6146333333333335,0.6815466666666669,0.6890533333333327,0.8548000000000002,0.9417599999999992,0.6840200000000001,0.5260400000000001,0.9752466666666664,1.0953533333333338,1.083993333333333,0.8138699999999999,0.0,0.8143133333333336,0.9038699999999998
FH_UVA_Ensemble,0.40413999999999994,0.5851500000000004,0.9745466666666668,1.5932766666666676,0.4759720000000003,0.40413999999999994,0.5581433333333339,0.6177166666666665,0.5161833333333334,0.5956200000000003,0.5693133333333338,0.5816133333333336,0.3860100000000004,1.0193600000000003,0.7095433333333329,0.7506766666666673,0.5647099999999999,0.6241920000000001,0.4500466666666668,0.7898433333333332,0.7192799999999999,0.584226666666667,0.5099800000000001,0.6822266666666668,0.8087199999999998,0.7311099999999994,0.6789800000000001,0.49009000000000025,0.6885300000000006,0.650684,0.37918333333333365,1.1638733333333333,0.5565066666666666,0.6062999999999998,0.8143133333333336,0.0,0.45040666666666646
USC_SI_kJalpha,0.28096,0.7171166666666662,1.003783333333333,1.526023333333332,0.4795720000000001,0.28096,0.42884000000000033,0.5075033333333334,0.32144333333333336,0.46830000000000005,0.4025300000000001,0.5002966666666663,0.21428000000000022,0.9226200000000001,0.7895366666666671,0.8767166666666668,0.6410400000000003,0.43979600000000024,0.4420300000000004,0.8218933333333334,0.8626333333333333,0.6570566666666667,0.5837199999999999,0.7142433333333338,0.8461299999999995,0.691133333333333,0.68918,0.45081,0.8504666666666669,0.8913120000000002,0.22581000000000023,1.119313333333333,0.3771066666666671,0.6487800000000002,0.9038699999999998,0.45040666666666646,0.0
